# Middle Chinese to Mandarin syllable mapping (work in progress)
# version: 20190512
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# The Middle Chinese syllables are transcribed using Baxter transcription.
# The Mandarin IPA transcription is intended to reflect the system of 洪武正韻譯訓. The following modern phonetic realization are not marked explicitly:
#  Merge of syllable codae -p -t -k to glottal stop [ʔ];
#  Omission of breathiness in breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ (resulting in merge with [ʂ] [ʃ] [s] [f] [h]~[x] respectively);
#  Palatalization and frictivization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ or /y/;
#  Merge of -iaw and -iɛw.
kwangx_ghiunh_entry	middle_chinese_to_mandarin_mapping
3416(煨)	煨('woj)->煨(ʔui)
3417(䋿)	䋿('woj)->䋿(ʔui)
3419(椳)	椳('woj)->椳(ʔui)
3420(偎)	偎('woj)->偎(ʔui)
3426(回)	回(hwoj)->回(ɦȕi)
3426(回)	囬(hwoj)->囬(ɦȕi)
3426(回)	囘(hwoj)->囘(ɦȕi)
3427(洄)	洄(hwoj)->洄(ɦȕi)
3428(迴)	廻(hwoj)->廻(ɦȕi)
3428(迴)	迴(hwoj)->迴(ɦȕi)
3428(迴)	廽(hwoj)->廽(ɦȕi)
3428(迴)	回(hwoj)->回(ɦȕi)
3429(槐)	槐(hwoj)->槐(ɦȕi)
3430(徊)	徊(hwoj)->徊(ɦȕi)
3434(佪)	佪(hwoj)->佪(ɦȕi)
3438(茴)	茴(hwoj)->茴(ɦȕi)
3439(枚)	枚(mwoj)->枚(mȕi)
3440(梅)	梅(mwoj)->梅(mȕi)
3440(梅)	楳(mwoj)->楳(mȕi)
3441(媒)	媒(mwoj)->媒(mȕi)
3442(玫)	玫(mwoj)->玫(mȕi)
3443(煤)	煤(mwoj)->煤(mȕi)
3444(脢)	脢(mwoj)->脢(mȕi)
3445(脄)	脄(mwoj)->脄(mȕi)
3447(禖)	禖(mwoj)->禖(mȕi)
3448(䍙)	䍙(mwoj)->䍙(mȕi)
3449(莓)	莓(mwoj)->莓(mȕi)
3450(塺)	塺(mwoj)->塺(mȕi)
3451(鋂)	鋂(mwoj)->鋂(mȕi)
3454(傀)	傀(kwoj)->傀(kui)
3457(瑰)	瑰(kwoj)->瑰(kui)
3460(櫰)	櫰(kwoj)->櫰(kui)
3464(雷)	雷(lwoj)->雷(lȕi)
3469(櫑)	櫑(lwoj)->櫑(lȕi)
3470(罍)	罍(lwoj)->罍(lȕi)
3476(轠)	轠(lwoj)->轠(lȕi)
3478(頽)	頽(dwoj)->頽(tʱȕi)
3478(頽)	頹(dwoj)->頹(tʱȕi)
3480(隤)	隤(dwoj)->隤(tʱȕi)
3483(魋)	魋(dwoj)->魋(tʱȕi)
3484(尵)	尵(dwoj)->尵(tʱȕi)
3485(蘈)	蘈(dwoj)->蘈(tʱȕi)
3490(崔)	崔(tshwoj)->崔(tsʰui)
3491(催)	催(tshwoj)->催(tsʰui)
3492(縗)	縗(tshwoj)->縗(tsʰui)
3496(磓)	磓(twoj)->磓(tui)
3498(頧)	頧(twoj)->頧(tui)
3500(堆)	堆(twoj)->堆(tui)
3503(鎚)	鎚(twoj)->鎚(tui)
3504(搥)	搥(twoj)->搥(tui)
3504(搥)	捶(twoj)->捶(tui)
3509(敦)	敦(twoj)->敦(tui)
3512(挼)	挼(swoj)->挼(sui)
3513(䪎)	䪎(swoj)->䪎(sui)
3514(毸)	毸(swoj)->毸(sui)
3517(摧)	摧(dzwoj)->摧(tsʱȕi)
3518(崔)	崔(dzwoj)->崔(tsʱȕi)
3522(裴)	裴(bwoj)->裴(pʱȕi)
3522(裴)	裵(bwoj)->裵(pʱȕi)
3523(徘)	徘(bwoj)->徘(pʱȕi)
3524(培)	培(bwoj)->培(pʱȕi)
3525(陪)	陪(bwoj)->陪(pʱȕi)
3534(桮)	桮(pwoj)->桮(pui)
3534(桮)	杯(pwoj)->杯(pui)
3535(杯)	杯(pwoj)->杯(pui)
3536(盃)	盃(pwoj)->盃(pui)
3537(肧)	肧(phwoj)->肧(pʰui)
3538(坯)	坏(phwoj)->坏(pʰui)
3538(坯)	坯(phwoj)->坯(pʰui)
3538(坯)	壊(phwoj)->壊(pʰui)
3538(坯)	壞(phwoj)->壞(pʰui)
3540(醅)	醅(phwoj)->醅(pʰui)
3541(衃)	衃(phwoj)->衃(pʰui)
3545(鮠)	鮠(ngwoj)->鮠((ŋ)ȕi)
3546(桅)	桅(ngwoj)->桅((ŋ)ȕi)
3547(嵬)	嵬(ngwoj)->嵬((ŋ)ȕi)
3553(蓷)	蓷(thwoj)->蓷(tʰui)
3554(推)	推(thwoj)->推(tʰui)
3560(嗺)	嗺(tswoj)->嗺(tsui)
3564(咍)	咍(xoj)->咍(hai)
3567(開)	開(khoj)->開(kʰai)
3572(哀)	哀('oj)->哀(ʔai)
3573(埃)	埃('oj)->埃(ʔai)
3574(唉)	唉('oj)->唉(ʔai)
3575(㶼)	㶼('oj)->㶼(ʔai)
3576(欸)	欸('oj)->欸(ʔai)
3578(臺)	臺(doj)->臺(tʱȁi)
3579(擡)	擡(doj)->擡(tʱȁi)
3581(苔)	苔(doj)->苔(tʱȁi)
3582(炱)	炱(doj)->炱(tʱȁi)
3584(薹)	薹(doj)->薹(tʱȁi)
3585(䈚)	䈚(doj)->䈚(tʱȁi)
3586(儓)	儓(doj)->儓(tʱȁi)
3588(駘)	駘(doj)->駘(tʱȁi)
3590(籉)	籉(doj)->籉(tʱȁi)
3591(跆)	跆(doj)->跆(tʱȁi)
3593(該)	該(koj)->該(kai)
3595(垓)	垓(koj)->垓(kai)
3595(垓)	陔(koj)->陔(kai)
3596(荄)	荄(koj)->荄(kai)
3599(剴)	剴(koj)->剴(kai)
3600(陔)	陔(koj)->陔(kai)
3600(陔)	垓(koj)->垓(kai)
3602(絯)	絯(koj)->絯(kai)
3603(晐)	晐(koj)->晐(kai)
3604(峐)	峐(koj)->峐(kai)
3605(祴)	祴(koj)->祴(kai)
3606(侅)	侅(koj)->侅(kai)
3607(賅)	賅(koj)->賅(kai)
3609(胲)	胲(koj)->胲(kai)
3613(裁)	裁(dzoj)->裁(tsʱȁi)
3614(纔)	纔(dzoj)->纔(tsʱȁi)
3615(財)	財(dzoj)->財(tsʱȁi)
3616(才)	才(dzoj)->才(tsʱȁi)
3617(材)	材(dzoj)->材(tsʱȁi)
3620(鼒)	鼒(dzoj)->鼒(tsʱȁi)
3622(來)	來(loj)->來(lȁi)
3623(萊)	萊(loj)->萊(lȁi)
3625(騋)	騋(loj)->騋(lȁi)
3626(崍)	崍(loj)->崍(lȁi)
3627(斄)	斄(loj)->斄(lȁi)
3631(淶)	淶(loj)->淶(lȁi)
3633(鶆)	鶆(loj)->鶆(lȁi)
3634(䅘)	䅘(loj)->䅘(lȁi)
3646(徠)	倈(loj)->倈(lȁi)
3646(徠)	徠(loj)->徠(lȁi)
3646(徠)	來(loj)->來(lȁi)
3647(烖)	烖(tsoj)->烖(tsai)
3647(烖)	災(tsoj)->災(tsai)
3649(災)	災(tsoj)->災(tsai)
3649(災)	⿱𡿧火(tsoj)->⿱𡿧火(tsai)
3651(栽)	栽(tsoj)->栽(tsai)
3652(哉)	哉(tsoj)->哉(tsai)
3659(猜)	猜(tshoj)->猜(tsʰai)
3660(偲)	偲(tshoj)->偲(tsʰai)
3665(胎)	胎(thoj)->胎(tʰai)
3668(台)	台(thoj)->台(tʰai)
3669(邰)	邰(thoj)->邰(tʰai)
3672(孩)	孩(hoj)->孩(ɦȁi)
3673(咳)	咳(hoj)->咳(ɦȁi)
3683(䚡)	䚡(soj)->䚡(sai)
3684(顋)	顋(soj)->顋(sai)
3687(毢)	毢(soj)->毢(sai)
3688(皚)	皚(ngoj)->皚(ŋȁi)
3690(敳)	敳(ngoj)->敳(ŋȁi)
3695(能)	能(noj)->能(nȁi)
3701(眞)	眞(tsyin)->眞(tʃin)
3701(眞)	真(tsyin)->真(tʃin)
3702(甄)	甄(tsyin)->甄(tʃin)
3703(振)	振(tsyin)->振(tʃin)
3706(磌)	磌(tsyin)->磌(tʃin)
3707(畛)	畛(tsyin)->畛(tʃin)
3708(籈)	籈(tsyin)->籈(tʃin)
3709(侲)	侲(tsyin)->侲(tʃin)
3710(桭)	桭(tsyin)->桭(tʃin)
3714(帪)	帪(tsyin)->帪(tʃin)
3719(縝)	縝(trhin)->縝(tʃʰin)
3720(因)	因('jin)->因(ʔin)
3721(茵)	茵('jin)->茵(ʔin)
3722(鞇)	鞇('jin)->鞇(ʔin)
3723(禋)	禋('jin)->禋(ʔin)
3725(闉)	闉('jin)->闉(ʔin)
3726(駰)	駰('jin)->駰(ʔin)
3727(湮)	湮('jin)->湮(ʔin)
3728(烟)	烟('jin)->烟(ʔin)
3729(氤)	氤('jin)->氤(ʔin)
3730(絪)	絪('jin)->絪(ʔin)
3731(垔)	垔('jin)->垔(ʔin)
3732(陻)	陻('jin)->陻(ʔin)
3734(堙)	堙('jin)->堙(ʔin)
3736(姻)	姻('jin)->姻(ʔin)
3736(姻)	婣('jin)->婣(ʔin)
3737(婣)	婣('jin)->婣(ʔin)
3737(婣)	姻('jin)->姻(ʔin)
3738(諲)	諲('jin)->諲(ʔin)
3741(歅)	歅('jin)->歅(ʔin)
3743(新)	新(sin)->新(sin)
3744(辛)	辛(sin)->辛(sin)
3745(薪)	薪(sin)->薪(sin)
3756(臣)	臣(dzyin)->臣(tʃʱȉn)
3759(仁)	仁(nyin)->仁(ʒȉn)
3759(仁)	忈(nyin)->忈(ʒȉn)
3761(人)	人(nyin)->人(ʒȉn)
3762(神)	神(zyin)->神(ʃʱȉn)
3763(晨)	晨(zyin)->晨(ʃʱȉn)
3764(親)	親(tshin)->親(tsʰin)
3767(礥)	礥(hin)->礥((ŋ)jȉn)
3770(申)	申(syin)->申(ʃin)
3771(伸)	伸(syin)->伸(ʃin)
3772(紳)	紳(syin)->紳(ʃin)
3773(娠)	娠(syin)->娠(ʃin)
3774(呻)	呻(syin)->呻(ʃin)
3782(身)	身(syin)->身(ʃin)
3783(柛)	柛(syin)->柛(ʃin)
3786(賔)	賔(pjin)->賔(pin)
3786(賔)	賓(pjin)->賓(pin)
3788(濱)	濵(pjin)->濵(pin)
3788(濱)	濱(pjin)->濱(pin)
3788(濱)	浜(pjin)->浜(pin)
3792(儐)	儐(pjin)->儐(pin)
3793(鑌)	鑌(pjin)->鑌(pin)
3797(燐)	燐(lin)->燐(lȉn)
3798(鄰)	鄰(lin)->鄰(lȉn)
3798(鄰)	隣(lin)->隣(lȉn)
3799(轔)	轔(lin)->轔(lȉn)
3800(嶙)	嶙(lin)->嶙(lȉn)
3801(粼)	粼(lin)->粼(lȉn)
3802(磷)	磷(lin)->磷(lȉn)
3803(疄)	疄(lin)->疄(lȉn)
3804(麟)	麟(lin)->麟(lȉn)
3805(麐)	麐(lin)->麐(lȉn)
3806(鱗)	鱗(lin)->鱗(lȉn)
3807(璘)	璘(lin)->璘(lȉn)
3810(𧲂)	𧲂(lin)->𧲂(lȉn)
3811(瞵)	瞵(lin)->瞵(lȉn)
3812(獜)	獜(lin)->獜(lȉn)
3813(驎)	驎(lin)->驎(lȉn)
3818(潾)	潾(lin)->潾(lȉn)
3819(𥎊)	𥎊(gin)->𥎊(kʱȉn)
3821(堇)	堇(gin)->堇(kʱȉn)
3821(堇)	蓳(gin)->蓳(kʱȉn)
3821(堇)	菫(gin)->菫(kʱȉn)
3822(墐)	墐(gin)->墐(kʱȉn)
3824(珍)	珍(trin)->珍(tʃin)
3825(鎭)	鎭(trin)->鎭(tʃin)
3825(鎭)	鎮(trin)->鎮(tʃin)
3826(塡)	塡(trin)->塡(tʃin)
3826(塡)	填(trin)->填(tʃin)
3827(陳)	陳(drin)->陳(tʃʱȉn)
3831(塵)	塵(drin)->塵(tʃʱȉn)
3832(津)	津(tsin)->津(tsin)
3834(璡)	璡(tsin)->璡(tsin)
3834(璡)	琎(tsin)->琎(tsin)
3837(瞋)	瞋(tsyhin)->瞋(tʃʰin)
3838(嗔)	嗔(tsyhin)->嗔(tʃʰin)
3842(縝)	縝(tsyhin)->縝(tʃʰin)
3843(秦)	秦(dzin)->秦(tsʱȉn)
3844(螓)	螓(dzin)->螓(tsʱȉn)
3846(寅)	寅(yin)->寅((ŋ)jȉn)
3847(夤)	夤(yin)->夤((ŋ)jȉn)
3848(𦟘)	𦟘(yin)->𦟘((ŋ)jȉn)
3850(螾)	螾(yin)->螾((ŋ)jȉn)
3852(紉)	紉(nrin)->紉(nȉn)
3853(繽)	繽(phjin)->繽(pʰin)
3858(頻)	頻(bjin)->頻(pʱȉn)
3859(蘋)	蘋(bjin)->蘋(pʱȉn)
3860(薲)	𦿜(bjin)->𦿜(pʱȉn)
3860(薲)	薲(bjin)->薲(pʱȉn)
3861(嬪)	𡣕(bjin)->𡣕(pʱȉn)
3861(嬪)	嬪(bjin)->嬪(pʱȉn)
3864(蠙)	𧓍(bjin)->𧓍(pʱȉn)
3864(蠙)	蠙(bjin)->蠙(pʱȉn)
3866(顰)	顰(bjin)->顰(pʱȉn)
3868(嚬)	嚬(bjin)->嚬(pʱȉn)
3872(銀)	銀(ngin)->銀((ŋ)jȉn)
3874(狺)	狺(ngin)->狺((ŋ)jȉn)
3877(鄞)	鄞(ngin)->鄞((ŋ)jȉn)
3878(圁)	圁(ngin)->圁((ŋ)jȉn)
3879(誾)	誾(ngin)->誾((ŋ)jȉn)
3881(嚚)	嚚(ngin)->嚚((ŋ)jȉn)
3883(珢)	珢(ngin)->珢((ŋ)jȉn)
3884(䴦)	䴦(ngin)->䴦((ŋ)jȉn)
3885(垠)	垠(ngin)->垠((ŋ)jȉn)
3885(垠)	圻(ngin)->圻((ŋ)jȉn)
3886(𪛊)	𪛊(ngin)->𪛊((ŋ)jȉn)
3888(巾)	巾(kin)->巾(kin)
3889(麏)	麏(kwin)->麏(kyun)
3890(麇)	麇(kwin)->麇(kyun)
3891(麕)	麕(kwin)->麕(kyun)
3892(頵)	頵(kwin)->頵(kyun)
3895(筠)	筠(hwin)->筠(jyȕn)
3897(縜)	縜(hwin)->縜(jyȕn)
3898(荺)	荺(hwin)->荺(jyȕn)
3899(囷)	囷(khwin)->囷(kʰyun)
3900(箘)	箘(khwin)->箘(kʰyun)
3906(珉)	玟(min)->玟(mȉn)
3906(珉)	珉(min)->珉(mȉn)
3906(珉)	䂥(min)->䂥(mȉn)
3907(岷)	岷(min)->岷(mȉn)
3908(罠)	罠(min)->罠(mȉn)
3909(閩)	閩(min)->閩(mȉn)
3910(緡)	緡(min)->緡(mȉn)
3913(旻)	旻(min)->旻(mȉn)
3914(旼)	旼(min)->旼(mȉn)
3915(𤸅)	𤸅(min)->𤸅(mȉn)
3917(汶)	汶(min)->汶(mȉn)
3919(忞)	忞(min)->忞(mȉn)
3919(忞)	暋(min)->暋(mȉn)
3925(貧)	貧(bin)->貧(pʱȉn)
3929(駰)	駰('in)->駰(ʔin)
3931(奫)	奫('win)->奫(ʔyun)
3934(彬)	彬(pin)->彬(pin)
3934(彬)	份(pin)->份(pin)
3935(斌)	斌(pin)->斌(pin)
3936(份)	份(pin)->份(pin)
3937(玢)	玢(pin)->玢(pin)
3938(豳)	豳(pin)->豳(pin)
3939(邠)	邠(pin)->邠(pin)
3941(霦)	霦(pin)->霦(pin)
3944(攽)	攽(pin)->攽(pin)
3945(虨)	虨(pin)->虨(pin)
3947(民)	民(mjin)->民(mȉn)
3950(泯)	泯(mjin)->泯(mȉn)
3952(諄)	諄(tsywin)->諄(tʃyun)
3953(惇)	惇(tsywin)->惇(tʃyun)
3955(肫)	肫(tsywin)->肫(tʃyun)
3956(訰)	訰(tsywin)->訰(tʃyun)
3957(椿)	椿(trhwin)->椿(tʃʰyun)
3958(楯)	楯(trhwin)->楯(tʃʰyun)
3959(輴)	輴(trhwin)->輴(tʃʰyun)
3960(䡅)	䡅(trhwin)->䡅(tʃʰyun)
3961(鶞)	鶞(trhwin)->鶞(tʃʰyun)
3962(杶)	杶(trhwin)->杶(tʃʰyun)
3963(櫄)	櫄(trhwin)->櫄(tʃʰyun)
3967(荀)	荀(swin)->荀(syun)
3968(郇)	郇(swin)->郇(syun)
3969(詢)	詢(swin)->詢(syun)
3971(峋)	峋(swin)->峋(syun)
3972(珣)	珣(swin)->珣(syun)
3974(洵)	洵(swin)->洵(syun)
3975(恂)	恂(swin)->恂(syun)
3975(恂)	悛(swin)->悛(syun)
3981(純)	純(dzywin)->純(ʃʱyȕn)
3982(蓴)	蓴(dzywin)->蓴(ʃʱyȕn)
3982(蓴)	蒓(dzywin)->蒓(ʃʱyȕn)
3982(蓴)	莼(dzywin)->莼(ʃʱyȕn)
3983(蒓)	蒓(dzywin)->蒓(ʃʱyȕn)
3983(蒓)	蓴(dzywin)->蓴(ʃʱyȕn)
3983(蒓)	莼(dzywin)->莼(ʃʱyȕn)
3984(醇)	醇(dzywin)->醇(ʃʱyȕn)
3985(鶉)	鶉(dzywin)->鶉(ʃʱyȕn)
3989(錞)	錞(dzywin)->錞(ʃʱyȕn)
3990(淳)	淳(dzywin)->淳(ʃʱyȕn)
3992(焞)	焞(dzywin)->焞(ʃʱyȕn)
3998(脣)	唇(zywin)->唇(ʃʱyȕn)
3998(脣)	脣(zywin)->脣(ʃʱyȕn)
3999(漘)	漘(zywin)->漘(ʃʱyȕn)
4003(淪)	淪(lwin)->淪(lyȕn)
4004(倫)	倫(lwin)->倫(lyȕn)
4005(論)	論(lwin)->論(lyȕn)
4007(輪)	輪(lwin)->輪(lyȕn)
4010(蜦)	蜦(lwin)->蜦(lyȕn)
4012(綸)	綸(lwin)->綸(lyȕn)
4016(掄)	掄(lwin)->掄(lyȕn)
4018(屯)	屯(trwin)->屯(tʃyun)
4019(窀)	窀(trwin)->窀(tʃyun)
4020(迍)	迍(trwin)->迍(tʃyun)
4022(逡)	逡(tshwin)->逡(tsʰyun)
4023(竣)	竣(tshwin)->竣(tsʰyun)
4025(㕙)	㕙(tshwin)->㕙(tsʰyun)
4026(墫)	墫(tshwin)->墫(tsʰyun)
4026(墫)	樽(tshwin)->樽(tsʰyun)
4026(墫)	罇(tshwin)->罇(tsʰyun)
4027(捘)	捘(tshwin)->捘(tsʰyun)
4029(踆)	踆(tshwin)->踆(tsʰyun)
4037(春)	春(tsyhwin)->春(tʃʰyun)
4037(春)	萅(tsyhwin)->萅(tʃʰyun)
4039(勻)	勻(ywin)->勻(jyȕn)
4040(畇)	畇(ywin)->畇(jyȕn)
4041(旬)	旬(zwin)->旬(sʱyȕn)
4043(巡)	巡(zwin)->巡(sʱyȕn)
4043(巡)	廵(zwin)->廵(sʱyȕn)
4044(馴)	馴(zwin)->馴(sʱyȕn)
4045(循)	循(zwin)->循(sʱyȕn)
4046(揗)	揗(zwin)->揗(sʱyȕn)
4048(紃)	紃(zwin)->紃(sʱyȕn)
4058(均)	均(kjwin)->均(kyun)
4059(鈞)	鈞(kjwin)->鈞(kyun)
4060(袀)	袀(kjwin)->袀(kyun)
4065(臻)	臻(tsrin)->臻(ʈʂən)
4066(蓁)	蓁(tsrin)->蓁(ʈʂən)
4068(溱)	溱(tsrin)->溱(ʈʂən)
4071(榛)	榛(tsrin)->榛(ʈʂən)
4075(轃)	轃(tsrin)->轃(ʈʂən)
4076(莘)	莘(srin)->莘(ʂən)
4077(㜪)	㜪(srin)->㜪(ʂən)
4079(駪)	駪(srin)->駪(ʂən)
4080(籸)	籸(srin)->籸(ʂən)
4082(甡)	甡(srin)->甡(ʂən)
4083(兟)	兟(srin)->兟(ʂən)
4084(詵)	詵(srin)->詵(ʂən)
4085(侁)	侁(srin)->侁(ʂən)
4086(𩺵)	𩺵(srin)->𩺵(ʂən)
4094(姺)	姺(srin)->姺(ʂən)
4099(文)	文(mjun)->文(vȕn)
4100(聞)	聞(mjun)->聞(vȕn)
4103(紋)	紋(mjun)->紋(vȕn)
4104(雯)	雯(mjun)->雯(vȕn)
4106(蟁)	蟁(mjun)->蟁(vȕn)
4106(蟁)	蚊(mjun)->蚊(vȕn)
4107(蚊)	蚊(mjun)->蚊(vȕn)
4107(蚊)	螡(mjun)->螡(vȕn)
4107(蚊)	蟁(mjun)->蟁(vȕn)
4110(鳼)	鳼(mjun)->鳼(vȕn)
4111(闅)	闅(mjun)->闅(vȕn)
4115(雲)	雲(hjun)->雲(jyȕn)
4116(芸)	芸(hjun)->芸(jyȕn)
4116(芸)	藝(hjun)->藝(jyȕn)
4116(芸)	兿(hjun)->兿(jyȕn)
4120(耘)	耘(hjun)->耘(jyȕn)
4120(耘)	秐(hjun)->秐(jyȕn)
4121(鄖)	鄖(hjun)->鄖(jyȕn)
4122(妘)	妘(hjun)->妘(jyȕn)
4123(紜)	紜(hjun)->紜(jyȕn)
4126(云)	云(hjun)->云(jyȕn)
4127(篔)	篔(hjun)->篔(jyȕn)
4129(員)	員(hjun)->員(jyȕn)
4132(沄)	沄(hjun)->沄(jyȕn)
4139(緼)	縕('jun)->縕(ʔyun)
4139(緼)	緼('jun)->緼(ʔyun)
4144(蘊)	蘊('jun)->蘊(ʔyun)
4144(蘊)	蕴('jun)->蕴(ʔyun)
4144(蘊)	藴('jun)->藴(ʔyun)
4147(汾)	汾(bjun)->汾(fʱȕn)
4148(墳)	墳(bjun)->墳(fʱȕn)
4151(鼖)	鼖(bjun)->鼖(fʱȕn)
4154(濆)	濆(bjun)->濆(fʱȕn)
4155(焚)	焚(bjun)->焚(fʱȕn)
4158(豶)	豶(bjun)->豶(fʱȕn)
4159(頒)	頒(bjun)->頒(fʱȕn)
4159(頒)	朌(bjun)->朌(fʱȕn)
4160(羵)	羵(bjun)->羵(fʱȕn)
4162(枌)	枌(bjun)->枌(fʱȕn)
4164(蕡)	蕡(bjun)->蕡(fʱȕn)
4167(棼)	棼(bjun)->棼(fʱȕn)
4168(賁)	賁(bjun)->賁(fʱȕn)
4173(棻)	棻(bjun)->棻(fʱȕn)
4175(朌)	朌(bjun)->朌(fʱȕn)
4175(朌)	頒(bjun)->頒(fʱȕn)
4184(分)	分(pjun)->分(fun)
4185(饙)	饙(pjun)->饙(fun)
4186(餴)	餴(pjun)->餴(fun)
4190(羣)	羣(gjun)->羣(kʱyȕn)
4190(羣)	群(gjun)->群(kʱyȕn)
4191(帬)	帬(gjun)->帬(kʱyȕn)
4191(帬)	裙(gjun)->裙(kʱyȕn)
4192(裠)	裙(gjun)->裙(kʱyȕn)
4192(裠)	裠(gjun)->裠(kʱyȕn)
4192(裠)	帬(gjun)->帬(kʱyȕn)
4193(宭)	宭(gjun)->宭(kʱyȕn)
4195(薰)	薰(xjun)->薰(hyun)
4195(薰)	薫(xjun)->薫(hyun)
4196(曛)	曛(xjun)->曛(hyun)
4198(勛)	勳(xjun)->勳(hyun)
4198(勛)	勛(xjun)->勛(hyun)
4199(熏)	熏(xjun)->熏(hyun)
4201(獯)	獯(xjun)->獯(hyun)
4202(纁)	纁(xjun)->纁(hyun)
4203(醺)	醺(xjun)->醺(hyun)
4204(葷)	葷(xjun)->葷(hyun)
4205(焄)	焄(xjun)->焄(hyun)
4206(臐)	臐(xjun)->臐(hyun)
4207(君)	君(kjun)->君(kyun)
4208(軍)	軍(kjun)->軍(kyun)
4209(皸)	皸(kjun)->皸(kyun)
4215(芬)	芬(phjun)->芬(fun)
4216(紛)	紛(phjun)->紛(fun)
4218(𣬩)	𣬩(phjun)->𣬩(fun)
4219(衯)	衯(phjun)->衯(fun)
4220(𦐈)	𦐈(phjun)->𦐈(fun)
4224(氛)	氛(phjun)->氛(fun)
4225(雰)	雰(phjun)->雰(fun)
4228(欣)	欣(xj+n)->欣(hin)
4229(忻)	忻(xj+n)->忻(hin)
4230(昕)	昕(xj+n)->昕(hin)
4231(訢)	訢(xj+n)->訢(hin)
4232(炘)	炘(xj+n)->炘(hin)
4234(殷)	殷('j+n)->殷(ʔin)
4235(慇)	慇('j+n)->慇(ʔin)
4236(㶏)	㶏('j+n)->㶏(ʔin)
4237(溵)	溵('j+n)->溵(ʔin)
4238(勤)	勤(gj+n)->勤(kʱȉn)
4238(勤)	懃(gj+n)->懃(kʱȉn)
4239(芹)	芹(gj+n)->芹(kʱȉn)
4240(懃)	懃(gj+n)->懃(kʱȉn)
4240(懃)	勤(gj+n)->勤(kʱȉn)
4241(慬)	慬(gj+n)->慬(kʱȉn)
4243(瘽)	瘽(gj+n)->瘽(kʱȉn)
4244(𥎊)	𥎊(gj+n)->𥎊(kʱȉn)
4245(蘄)	蘄(gj+n)->蘄(kʱȉn)
4246(斤)	斤(kj+n)->斤(kin)
4247(筋)	筋(kj+n)->筋(kin)
4247(筋)	觔(kj+n)->觔(kin)
4249(釿)	釿(kj+n)->釿(kin)
4252(圻)	圻(ngj+n)->圻((ŋ)jȉn)
4252(圻)	垠(ngj+n)->垠((ŋ)jȉn)
4253(垠)	垠(ngj+n)->垠((ŋ)jȉn)
4253(垠)	圻(ngj+n)->圻((ŋ)jȉn)
4254(齗)	齗(ngj+n)->齗((ŋ)jȉn)
4255(齦)	齦(ngj+n)->齦((ŋ)jȉn)
4256(䴦)	䴦(ngj+n)->䴦((ŋ)jȉn)
4258(𪛊)	𪛊(ngj+n)->𪛊((ŋ)jȉn)
4260(狺)	狺(ngj+n)->狺((ŋ)jȉn)
4261(鄞)	鄞(ngj+n)->鄞((ŋ)jȉn)
4262(元)	元(ngjwon)->元((ŋ)jyuɛ̏n)
4263(原)	原(ngjwon)->原((ŋ)jyuɛ̏n)
4265(源)	源(ngjwon)->源((ŋ)jyuɛ̏n)
4265(源)	厵(ngjwon)->厵((ŋ)jyuɛ̏n)
4266(厵)	厵(ngjwon)->厵((ŋ)jyuɛ̏n)
4266(厵)	源(ngjwon)->源((ŋ)jyuɛ̏n)
4266(厵)	沅(ngjwon)->沅((ŋ)jyuɛ̏n)
4268(嫄)	嫄(ngjwon)->嫄((ŋ)jyuɛ̏n)
4269(沅)	沅(ngjwon)->沅((ŋ)jyuɛ̏n)
4270(騵)	騵(ngjwon)->騵((ŋ)jyuɛ̏n)
4271(黿)	黿(ngjwon)->黿((ŋ)jyuɛ̏n)
4273(蚖)	蚖(ngjwon)->蚖((ŋ)jyuɛ̏n)
4274(𧔞)	𧔞(ngjwon)->𧔞((ŋ)jyuɛ̏n)
4276(邧)	邧(ngjwon)->邧((ŋ)jyuɛ̏n)
4277(榞)	榞(ngjwon)->榞((ŋ)jyuɛ̏n)
4278(謜)	謜(ngjwon)->謜((ŋ)jyuɛ̏n)
4282(阮)	阮(ngjwon)->阮((ŋ)jyuɛ̏n)
4283(蒝)	蒝(ngjwon)->蒝((ŋ)jyuɛ̏n)
4284(袁)	袁(hjwon)->袁(jyuɛ̏n)
4285(爰)	爰(hjwon)->爰(jyuɛ̏n)
4286(垣)	垣(hjwon)->垣(jyuɛ̏n)
4288(園)	園(hjwon)->園(jyuɛ̏n)
4289(援)	援(hjwon)->援(jyuɛ̏n)
4290(榬)	榬(hjwon)->榬(jyuɛ̏n)
4291(轅)	轅(hjwon)->轅(jyuɛ̏n)
4293(媛)	媛(hjwon)->媛(jyuɛ̏n)
4294(洹)	洹(hjwon)->洹(jyuɛ̏n)
4296(𧻚)	𧻚(hjwon)->𧻚(jyuɛ̏n)
4297(蝯)	蝯(hjwon)->蝯(jyuɛ̏n)
4299(猿)	猿(hjwon)->猿(jyuɛ̏n)
4300(煩)	煩(bjon)->煩(fʱȁn)
4303(蹯)	蹯(bjon)->蹯(fʱȁn)
4303(蹯)	番(bjon)->番(fʱȁn)
4304(繁)	繁(bjon)->繁(fʱȁn)
4304(繁)	緐(bjon)->緐(fʱȁn)
4305(蘩)	蘩(bjon)->蘩(fʱȁn)
4306(薠)	薠(bjon)->薠(fʱȁn)
