index	廣韻小韻	middle_chinese_transcription	mandarin
123	雌	止開三平支清	tshje	tshɨ
124	知	止開三平支知	trje	tʃi
125	漪	止開三平支影B	'je	ʔi
126	馳	止開三平支澄	drje	tʃɦȉ
127	眭	止合三平支心	sjwe	sui
128	危	止合三平支疑B	ngjwe	ŋȕi
129	詑	止開三平支曉A	xjie	hi
130	釃	止開三平支生	srje	ʂɨ
131	䪎	止合三平支生	srjwe	ʂui
132	痿	止合三平支日	nywe	ʒȕi
133	厜	止開三平支精	tsje	tsɨ
134	𩓸	止合三平支見A	kjwie	kui
135	劑	止合三平支精	tsjwe	tsui
136	衰	止合三平支初	tsrhjwe	ʈʂhui
137	腄	止合三平支知	trjwe	ʈʂui
138	䮔	止合三平支精	tsjwe	tsui
139	眵	止開三平支昌	tsyhe	tʃhiɨ
140	齜	止開三平支莊	tsrje	ʈʂɨ
141	𤿎	止開三平支滂A	phjie	phi
142	䔺	止合三平支以	ywe	ȕi
143	齹	止開三平支崇	dzrje	ʈʂɦɨ̏
144	脂	止開三平脂章	tsyij	tʃiɨ
145	姨	止開三平脂以	yij	jȉ
146	師	止開三平脂生	srij	ʂɨ
147	𣬈	止開三平脂並A	bjij	pɦȉ
148	咨	止開三平脂精	tsij	tsɨ
149	飢	止開三平脂見B	kij	ki
150	鴟	止開三平脂昌	tsyhij	tʃhiɨ
151	絺	止開三平脂徹	trhij	tʃhi
152	郪	止開三平脂清	tshij	tshɨ
153	茨	止開三平脂從	dzij	tsɦɨ̏
154	尼	止開三平脂孃	nrij	nȉ
155	墀	止開三平脂澄	drij	tʃɦȉ
156	私	止開三平脂心	sij	sɨ
157	尸	止開三平脂書	syij	ʃiɨ
158	鬐	止開三平脂羣B	gij	kɦȉ
159	伊	止開三平脂影A	'jij	ʔi
160	棃	止開三平脂來	lij	lȉ
161	葵	止合三平脂羣A	gjwij	kɦȕi
162	追	止合三平脂知	trwij	ʈʂui
163	龜	止合三平脂見B	kwij	kui
164	蕤	止合三平脂日	nywij	ʒȕi
165	衰	止合三平脂生	srwij	ʂui
166	惟	止合三平脂以	ywij	ȕi
167	㶟	止合三平脂來	lwij	lȕi
168	綏	止合三平脂心	swij	sui
169	逵	止合三平脂羣B	gwij	kɦȕi
170	眉	止開三平脂明B	mij	mȉ
171	悲	止開三平脂幫B	pij	pi
172	錐	止合三平脂章	tsywij	ʈʂui
173	誰	止合三平脂常	dzywij	ʂʐȕi
174	帷	止合三平脂云	hwij	ȕi
175	邳	止開三平脂並B	bij	pɦȉ
176	丕	止開三平脂滂B	phij	phi
177	倠	止合三平脂曉A	xjwij	hui
178	鎚	止合三平脂澄	drwij	ʈʂɦȕi
179	推	止合三平脂昌	tsyhwij	ʈʂhui
180	胝	止開三平脂知	trij	tʃi
181	紕	止開三平脂滂A	phjij	phi
182	嶉	止合三平脂精	tswij	tsui
183	巋	止合三平脂溪B	khwij	khui
184	狋	止開三平脂疑B	ngij	ŋjȉ
185	咦	止開三平脂曉A	xjij	hi
186	之	止開三平之章	tsyi	tʃiɨ
187	飴	止開三平之以	yi	jȉ
188	時	止開三平之常	dzyi	ʃʒiɨ̏
189	疑	止開三平之疑	ngi	ŋjȉ
190	思	止開三平之心	si	sɨ
191	輜	止開三平之初	tsrhi	ʈʂhɨ
192	其	止開三平之羣	gi	kɦȉ
193	詩	止開三平之書	syi	ʃiɨ
194	而	止開三平之日	nyi	ɻ̏
195	欺	止開三平之溪	khi	khi
196	姬	止開三平之見	ki	ki
197	詞	止開三平之邪	zi	szɨ̏
198	釐	止開三平之來	li	lȉ
199	葘	止開三平之莊	tsri	ʈʂɨ
200	僖	止開三平之曉	xi	hi
201	醫	止開三平之影	'i	ʔi
202	癡	止開三平之徹	trhi	tʃhi
203	治	止開三平之澄	dri	tʃɦȉ
204	蚩	止開三平之昌	tsyhi	tʃhiɨ
205	慈	止開三平之從	dzi	tsɦɨ̏
206	兹	止開三平之精	tsi	tsɨ
207	茬	止開三平之崇	dzri	ʈʂɦɨ̏
208	漦	止開三平之俟	zri	ʂʐɨ̏
209	抾	止開三平之溪	khi	khi
210	䀵	止開三平之書	syi	ʃiɨ
211	微	止合三平微明	mj+j	vȉ
212	揮	止合三平微曉	xjw+j	hui
213	幃	止合三平微云	hjw+j	ȕi
214	霏	止合三平微滂	phj+j	fi
215	猆	止合三平微幫	pj+j	fi
216	肥	止合三平微並	bj+j	fvȉ
217	威	止合三平微影	'jw+j	ʔui
218	祈	止開三平微羣	gj+j	kɦȉ
219	機	止開三平微見	kj+j	ki
220	希	止開三平微曉	xj+j	hi
221	依	止開三平微影	'j+j	ʔi
222	沂	止開三平微疑	ngj+j	ŋjȉ
223	巍	止合三平微疑	ngjw+j	ŋȕi
224	歸	止合三平微見	kjw+j	kui
225	蘬	止合三平微溪	khjw+j	khui
226	魚	遇開三平魚疑	ngjo	ŋjy̏
227	初	遇開三平魚初	tsrhjo	ʈʂhu
228	書	遇開三平魚書	syo	ʃy
229	居	遇開三平魚見	kjo	ky
230	渠	遇開三平魚羣	gjo	kɦy̏
231	余	遇開三平魚以	yo	jy̏
232	胥	遇開三平魚心	sjo	sy
233	疽	遇開三平魚清	tshjo	tshy
234	鉏	遇開三平魚崇	dzrjo	ʈʂɦȕ
235	攄	遇開三平魚徹	trhjo	tʃhy
236	䟽	遇開三平魚生	srjo	ʂu
237	虚	遇開三平魚曉	xjo	hy
238	徐	遇開三平魚邪	zjo	szy̏
239	於	遇開三平魚影	'jo	ʔy
240	豬	遇開三平魚知	trjo	tʃy
241	臚	遇開三平魚來	ljo	ly̏
242	諸	遇開三平魚章	tsyo	tʃy
243	除	遇開三平魚澄	drjo	tʃɦy̏
244	如	遇開三平魚日	nyo	ʒy̏
245	且	遇開三平魚精	tsjo	tsy
246	虚	遇開三平魚溪	khjo	khy
247	菹	遇開三平魚莊	tsrjo	ʈʂu
248	蜍	遇開三平魚常	dzyo	ʃʒy̏
249	袽	遇開三平魚孃	nrjo	ny̏
250	虞	遇合三平虞疑	ngju	ŋjy̏
251	芻	遇合三平虞初	tsrhju	ʈʂhu
252	無	遇合三平虞明	mju	vȕ
253	于	遇合三平虞云	hju	jy̏
254	訏	遇合三平虞曉	xju	hy
255	衢	遇合三平虞羣	gju	kɦy̏
256	儒	遇合三平虞日	nyu	ʒy̏
257	須	遇合三平虞心	sju	sy
258	株	遇合三平虞知	trju	tʃy
259	貙	遇合三平虞徹	trhju	tʃhy
260	殊	遇合三平虞常	dzyu	ʃʒy̏
261	逾	遇合三平虞以	yu	jy̏
262	區	遇合三平虞溪	khju	khy
263	朱	遇合三平虞章	tsyu	tʃy
264	趨	遇合三平虞清	tshju	tshy
265	慺	遇合三平虞來	lju	ly̏
266	扶	遇合三平虞並	bju	fvȕ
267	䅳	遇合三平虞崇	dzrju	ʈʂɦȕ
268	㑳	遇合三平虞莊	tsrju	ʈʂu
269	敷	遇合三平虞滂	phju	fu
270	諏	遇合三平虞精	tsju	tsy
271	跗	遇合三平虞幫	pju	fu
272	紆	遇合三平虞影	'ju	ʔy
273	輸	遇合三平虞書	syu	ʃy
274	樞	遇合三平虞昌	tsyhu	tʃhy
275	廚	遇合三平虞澄	drju	tʃɦy̏
276	拘	遇合三平虞見	kju	ky
277	毹	遇合三平虞生	srju	ʂu
278	模	遇開一平模明	mu	mȕ
279	酺	遇開一平模並	bu	pɦȕ
280	胡	遇開一平模匣	hu	ɦȕ
281	孤	遇開一平模見	ku	ku
282	徒	遇開一平模定	du	tɦȕ
283	奴	遇開一平模泥	nu	nȕ
284	呼	遇開一平模曉	xu	hu
285	吾	遇開一平模疑	ngu	ŋȕ
286	租	遇開一平模精	tsu	tsu
287	盧	遇開一平模來	lu	lȕ
288	蘇	遇開一平模心	su	su
289	徂	遇開一平模從	dzu	tsɦȕ
290	烏	遇開一平模影	'u	ʔu
291	逋	遇開一平模幫	pu	pu
292	枯	遇開一平模溪	khu	khu
293	麤	遇開一平模清	tshu	tshu
294	㻌	遇開一平模透	thu	thu
295	都	遇開一平模端	tu	tu
296	𥠵	遇開一平模滂	phu	phu
297	齊	蟹開四平齊從	dzej	tsɦiɪ̏i
298	黎	蟹開四平齊來	lej	liɪ̏i
299	妻	蟹開四平齊清	tshej	tshiɪi
300	低	蟹開四平齊端	tej	tiɪi
301	嗁	蟹開四平齊定	dej	tɦiɪ̏i
302	豍	蟹開四平齊幫	pej	piɪi
303	雞	蟹開四平齊見	kej	kiɪi
304	奚	蟹開四平齊匣	hej	ɦiɪ̏i
305	鷖	蟹開四平齊影	'ej	ʔiɪi
306	倪	蟹開四平齊疑	ngej	ŋjiɪ̏i
307	醯	蟹開四平齊曉	xej	hiɪi
308	西	蟹開四平齊心	sej	siɪi
309	梯	蟹開四平齊透	thej	thiɪi
310	鼙	蟹開四平齊並	bej	pɦiɪ̏i
311	磇	蟹開四平齊滂	phej	phiɪi
312	齎	蟹開四平齊精	tsej	tsiɪi
313	迷	蟹開四平齊明	mej	miɪ̏i
314	泥	蟹開四平齊泥	nej	niɪ̏i
315	谿	蟹開四平齊溪	khej	khiɪi
316	圭	蟹合四平齊見	kwej	kui
317	睽	蟹合四平齊溪	khwej	khui
318	攜	蟹合四平齊匣	hwej	ɦȕi
319	臡	蟹開四平齊日	nyej	ʒiɪ̏i
320	栘	蟹開四平齊常	dzyej	ʃʒiɪ̏i
321	烓	蟹合四平齊影	'wej	ʔui
322	睳	蟹合四平齊曉	xwej	hui
323	佳	蟹開二平佳見	kea	kiai
324	㥟	蟹開二平佳匣	hea	ɦiȁi
325	牌	蟹開二平佳並	bea	pɦȁi
326	媧	蟹合二平佳見	kwea	kwa
327	蛙	蟹合二平佳影	'wea	ʔwa
328	咼	蟹合二平佳溪	khwea	khwa
329	柴	蟹開二平佳崇	dzrea	ʈʂɦȁi
330	釵	蟹開二平佳初	tsrhea	ʈʂhai
331	竵	蟹合二平佳曉	xwea	hwa
