index	廣韻小韻	middle_chinese_transcription	mandarin
567	嬽	山合二平山影	'wean	ʔwan
568	窀	山合二平山定	dwean	tɦwȁn
569	𡰠	山合二平山來	lwean	lwȁn
570	𡰝	山合二平山羣	gwean	kɦwȁn
571	譠	山開二平山知	trean	ʈʂan
572	𤣆	山開二平山澄	drean	ʈʂɦȁn
573	湲	山合二平山匣	hwean	ɦwȁn
574	虥	山開二平山從	dzean	tsɦȁn
575	先	山開四平先心	sen	siɛn
576	前	山開四平先從	dzen	tsɦiɛ̏n
577	千	山開四平先清	tshen	tshiɛn
578	箋	山開四平先精	tsen	tsiɛn
579	天	山開四平先透	then	thiɛn
580	堅	山開四平先見	ken	kiɛn
581	賢	山開四平先匣	hen	ɦiɛ̏n
582	煙	山開四平先影	'en	ʔiɛn
583	蓮	山開四平先來	len	liɛ̏n
584	田	山開四平先定	den	tɦiɛ̏n
585	秊	山開四平先泥	nen	niɛ̏n
586	顚	山開四平先端	ten	tiɛn
587	牽	山開四平先溪	khen	khiɛn
588	姸	山開四平先疑	ngen	ŋjiɛ̏n
589	眠	山開四平先明	men	miɛ̏n
590	蹁	山開四平先並	ben	pɦiɛ̏n
591	淵	山合四平先影	'wen	ʔyuɛn
592	涓	山合四平先見	kwen	kyuɛn
593	鋗	山合四平先曉	xwen	hyuɛn
594	邊	山開四平先幫	pen	piɛn
595	玄	山合四平先匣	hwen	ɦyuɛ̏n
596	祆	山開四平先曉	xen	hiɛn
597	𤜼	山合四平先崇	dzrwen	ʈʂɦwȁn
598	仙	山開三平仙心	sjen	siɛn
599	錢	山開三平仙從	dzjen	tsɦiɛ̏n
600	遷	山開三平仙清	tshjen	tshiɛn
601	煎	山開三平仙精	tsjen	tsiɛn
602	然	山開三平仙日	nyen	ʒiɛ̏n
603	延	山開三平仙以	yen	jiɛ̏n
604	𩜾	山開三平仙章	tsyen	tʃiɛn
605	甄	山開三平仙見A	kjien	kiɛn
606	邅	山開三平仙知	trjen	tʃiɛn
607	潺	山開三平仙崇	dzrjen	ʈʂɦȁn
608	羶	山開三平仙書	syen	ʃiɛn
609	脠	山開三平仙徹	trhjen	tʃhiɛn
610	鋋	山開三平仙常	dzyen	tʃɦiɛ̏n
611	纏	山開三平仙澄	drjen	tʃɦiɛ̏n
612	嘕	山開三平仙曉A	xjien	hiɛn
613	連	山開三平仙來	ljen	liɛ̏n
614	篇	山開三平仙滂A	phjien	phiɛn
615	便	山開三平仙並A	bjien	pɦiɛ̏n
616	緜	山開三平仙明A	mjien	miɛ̏n
617	全	山合三平仙從	dzjwen	tsɦyuɛ̏n
618	宣	山合三平仙心	sjwen	syuɛn
619	鐫	山合三平仙精	tsjwen	tsyuɛn
620	翾	山合三平仙曉A	xjwien	hyuɛn
621	堧	山合三平仙日	nywen	ʒyuɛ̏n
622	穿	山合三平仙昌	tsyhwen	tʃhyuɛn
623	沿	山合三平仙以	ywen	jyuɛ̏n
624	旋	山合三平仙邪	zjwen	szyuɛ̏n
625	娟	山合三平仙影A	'jwien	ʔyuɛn
626	船	山合三平仙船	zywen	ʃʒyuɛ̏n
627	鞭	山開三平仙幫A	pjien	piɛn
628	㳄	山開三平仙邪	zjen	sziɛ̏n
629	詮	山合三平仙清	tshjwen	tshyuɛn
630	專	山合三平仙章	tsywen	tʃyuɛn
631	遄	山合三平仙常	dzywen	ʃʒyuɛ̏n
632	貟	山合三平仙云	hjwen	jyuɛ̏n
633	恮	山合三平仙莊	tsrjwen	ʈʂwan
634	栓	山合三平仙生	srjwen	ʂwan
635	猭	山合三平仙徹	trhjwen	tʃhyuɛn
636	乾	山開三平仙羣B	gjen	kɦiɛ̏n
637	愆	山開三平仙溪B	khjen	khiɛn
638	權	山合三平仙羣B	gjwen	kɦyuɛ̏n
639	椽	山合三平仙澄	drjwen	tʃɦyuɛ̏n
640	攣	山合三平仙來	ljwen	lyuɛ̏n
641	弮	山合三平仙溪B	khjwen	khyuɛn
642	焉	山開三平仙影B	'jen	ʔiɛn
643	漹	山開三平仙云	hjen	jiɛ̏n
644	嬽	山合三平仙影B	'jwen	ʔyuɛn
645	燀	山開三平仙昌	tsyhen	tʃhiɛn
646	𡰝	山合三平仙知	trjwen	tʃyuɛn
647	勬	山合三平仙見B	kjwen	kyuɛn
648	蕭	效開四平蕭心	sew	siɛw
649	祧	效開四平蕭透	thew	thiɛw
650	貂	效開四平蕭端	tew	tiɛw
651	迢	效開四平蕭定	dew	tɦiɛ̏w
652	驍	效開四平蕭見	kew	kiɛw
653	聊	效開四平蕭來	lew	liɛ̏w
654	堯	效開四平蕭疑	ngew	ŋjiɛ̏w
655	膮	效開四平蕭曉	xew	hiɛw
656	幺	效開四平蕭影	'ew	ʔiɛw
657	鄡	效開四平蕭溪	khew	khiɛw
658	宵	效開三平宵心	sjew	siɛw
659	超	效開三平宵徹	trhjew	tʃhiɛw
660	朝	效開三平宵知	trjew	tʃiɛw
661	𪓙	效開三平宵澄	drjew	tʃɦiɛ̏w
662	嚻	效開三平宵曉B	xjew	hiɛw
663	樵	效開三平宵從	dzjew	tsɦiɛ̏w
664	驕	效開三平宵見B	kjew	kiɛw
665	焦	效開三平宵精	tsjew	tsiɛw
666	饒	效開三平宵日	nyew	ʒiɛ̏w
667	燒	效開三平宵書	syew	ʃiɛw
668	遙	效開三平宵以	yew	jiɛ̏w
669	韶	效開三平宵常	dzyew	ʃʒiɛ̏w
670	昭	效開三平宵章	tsyew	tʃiɛw
671	飊	效開三平宵幫A	pjiew	piɛw
672	鑣	效開三平宵幫B	pjew	piɛw
673	瓢	效開三平宵並A	bjiew	pɦiɛ̏w
674	蜱	效開三平宵明A	mjiew	miɛ̏w
675	苗	效開三平宵明B	mjew	miɛ̏w
676	要	效開三平宵影A	'jiew	ʔiɛw
677	鴞	效開三平宵云	hjew	jiɛ̏w
678	喬	效開三平宵羣B	gjew	kɦiɛ̏w
679	鍫	效開三平宵清	tshjew	tshiɛw
680	妖	效開三平宵影B	'jew	ʔiɛw
681	蹻	效開三平宵溪A	khjiew	khiɛw
682	怊	效開三平宵昌	tsyhew	tʃhiɛw
683	爂	效開三平宵滂A	phjiew	phiɛw
684	翹	效開三平宵羣A	gjiew	kɦiɛ̏w
685	燎	效開三平宵來	ljew	liɛ̏w
686	趫	效開三平宵溪B	khjew	khiɛw
687	肴	效開二平肴匣	haew	ɦiȁw
688	交	效開二平肴見	kaew	kiaw
689	巢	效開二平肴崇	dzraew	ʈʂɦȁw
690	鐃	效開二平肴孃	nraew	nȁw
691	梢	效開二平肴生	sraew	ʂaw
692	茅	效開二平肴明	maew	mȁw
693	虓	效開二平肴曉	xaew	hiaw
694	包	效開二平肴幫	paew	paw
695	胞	效開二平肴滂	phaew	phaw
696	敲	效開二平肴溪	khaew	khiaw
697	聱	效開二平肴疑	ngaew	ŋjiȁw
698	𦗔	效開二平肴莊	tsraew	ʈʂaw
699	嘲	效開二平肴知	traew	ʈʂaw
700	䜈	效開二平肴初	tsrhaew	ʈʂhaw
701	庖	效開二平肴並	baew	pɦȁw
702	䫜	效開二平肴影	'aew	ʔiaw
703	䫸	效開二平肴徹	trhaew	ʈʂhaw
704	顟	效開二平肴來	laew	lȁw
705	䄻	效開二平肴澄	draew	ʈʂɦȁw
706	豪	效開一平豪匣	haw	ɦȁw
707	髙	效開一平豪見	kaw	kaw
708	勞	效開一平豪來	law	lȁw
709	蒿	效開一平豪曉	xaw	haw
710	毛	效開一平豪明	maw	mȁw
711	饕	效開一平豪透	thaw	thaw
712	刀	效開一平豪端	taw	taw
713	騷	效開一平豪心	saw	saw
714	袍	效開一平豪並	baw	pɦȁw
715	襃	效開一平豪幫	paw	paw
716	陶	效開一平豪定	daw	tɦȁw
717	糟	效開一平豪精	tsaw	tsaw
718	敖	效開一平豪疑	ngaw	ŋȁw
719	曹	效開一平豪從	dzaw	tsɦȁw
720	𤏶	效開一平豪影	'aw	ʔaw
721	猱	效開一平豪泥	naw	nȁw
722	尻	效開一平豪溪	khaw	khaw
723	操	效開一平豪清	tshaw	tshaw
724	㯱	效開一平豪滂	phaw	phaw
725	歌	果開一平歌見	ka	kɔ
726	蹉	果開一平歌清	tsha	tshɔ
727	多	果開一平歌端	ta	tɔ
728	娑	果開一平歌心	sa	sɔ
729	駝	果開一平歌定	da	tɦɔ̏
730	醝	果開一平歌從	dza	tsɦɔ̏
731	莪	果開一平歌疑	nga	ŋɔ̏
732	佗	果開一平歌透	tha	thɔ
733	羅	果開一平歌來	la	lɔ̏
734	那	果開一平歌泥	na	nɔ̏
735	何	果開一平歌匣	ha	ɦɔ̏
736	訶	果開一平歌曉	xa	hɔ
737	珂	果開一平歌溪	kha	khɔ
738	阿	果開一平歌影	'a	ʔɔ
739	戈	果合一平戈見	kwa	kwɔ
740	遳	果合一平戈清	tshwa	tshwɔ
741	𨹄	果合一平戈端	twa	twɔ
742	莎	果合一平戈心	swa	swɔ
743	婆	果合一平戈並	ba	pɦwɔ̏
744	㸰	果合一平戈定	dwa	tɦwɔ̏
745	摩	果合一平戈明	ma	mwɔ̏
746	矬	果合一平戈從	dzwa	tsɦwɔ̏
747	訛	果合一平戈疑	ngwa	ŋwɔ̏
748	詑	果合一平戈透	thwa	thwɔ
749	𩼊	果合一平戈來	lwa	lwɔ̏
750	捼	果合一平戈泥	nwa	nwɔ̏
751	波	果合一平戈幫	pa	pwɔ
752	頗	果合一平戈滂	pha	phwɔ
753	和	果合一平戈匣	hwa	ɦwɔ̏
754	科	果合一平戈溪	khwa	khwɔ
755	倭	果合一平戈影	'wa	ʔwɔ
756	鞾	果合三平戈曉	xjwa	hyuɛ
757	𦚢	果合三平戈影	'jwa	ʔyuɛ
758	𩨷	果合三平戈溪	khjwa	khyuɛ
759	伽	果開三平戈羣	gja	kɦiɛ̏
760	佉	果開三平戈溪	khja	khiɛ
761	迦	果開三平戈見	kja	kiɛ
762	脞	果合三平戈清	tshjwa	tshyuɛ
763	侳	果合三平戈精	tsjwa	tsyuɛ
764	瘸	果合三平戈羣	gjwa	kɦyuɛ̏
765	𦣛	果合三平戈來	ljwa	lyuɛ̏
766	麻	假開二平麻明	mae	mȁ
767	車	假開三平麻昌	tsyhae	tʃhiɛ
768	奢	假開三平麻書	syae	ʃiɛ
769	邪	假開三平麻以	yae	jiɛ̏
770	遮	假開三平麻章	tsyae	tʃiɛ
771	嗟	假開三平麻精	tsjae	tsiɛ
772	蛇	假開三平麻船	zyae	ʃʒiɛ̏
773	華	假合二平麻匣	hwae	ɦwȁ
774	瓜	假合二平麻見	kwae	kwa
775	華	假合二平麻曉	xwae	hwa
776	誇	假合二平麻溪	khwae	khwa
777	拏	假開二平麻孃	nrae	nȁ
778	嘉	假開二平麻見	kae	kia
779	遐	假開二平麻匣	hae	ɦiȁ
780	葩	假開二平麻滂	phae	pha
781	鴉	假開二平麻影	'ae	ʔia
782	巴	假開二平麻幫	pae	pa
783	叉	假開二平麻初	tsrhae	ʈʂha
784	鯊	假開二平麻生	srae	ʂa
785	牙	假開二平麻疑	ngae	ŋjiȁ
786	樝	假開二平麻莊	tsrae	ʈʂa
787	𡨀	假開二平麻澄	drae	ʈʂɦȁ
788	衺	假開三平麻邪	zjae	sziɛ̏
789	闍	假開三平麻常	dzyae	ʃʒiɛ̏
790	窊	假合二平麻影	'wae	ʔwa
791	髽	假合二平麻莊	tsrwae	ʈʂwa
792	檛	假合二平麻知	trwae	ʈʂwa
793	爬	假開二平麻並	bae	pɦȁ
794	楂	假開二平麻崇	dzrae	ʈʂɦȁ
795	侘	假開二平麻徹	trhae	ʈʂha
796	奓	假開二平麻知	trae	ʈʂa
797	煆	假開二平麻曉	xae	hia
798	䶗	假開二平麻溪	khae	khia
799	㚗	假開三平麻從	dzjae	tsɦiɛ̏
800	若	假開三平麻日	nyae	ʒiɛ̏
801	些	假開三平麻心	sjae	siɛ
802	爹	假開三平麻知	trjae	tʃiɛ
803	𣢉	假合二平麻疑	ngwae	ŋwȁ
804	𣘟	假開二平麻溪	khae	khia
805	陽	宕開三平陽以	yang	jiɑ̏ŋ
806	詳	宕開三平陽邪	zjang	sziɑ̏ŋ
807	良	宕開三平陽來	ljang	liɑ̏ŋ
808	香	宕開三平陽曉	xjang	hiɑŋ
809	商	宕開三平陽書	syang	ʃiɑŋ
810	房	宕合三平陽並	bjang	fvɑ̏ŋ
811	章	宕開三平陽章	tsyang	tʃiɑŋ
812	昌	宕開三平陽昌	tsyhang	tʃhiɑŋ
813	羌	宕開三平陽溪	khjang	khiɑŋ
814	薑	宕開三平陽見	kjang	kiɑŋ
815	長	宕開三平陽澄	drjang	tʃɦiɑ̏ŋ
816	張	宕開三平陽知	trjang	tʃiɑŋ
817	穰	宕開三平陽日	nyang	ʒiɑ̏ŋ
818	方	宕合三平陽幫	pjang	fɑŋ
819	襄	宕開三平陽心	sjang	siɑŋ
820	將	宕開三平陽精	tsjang	tsiɑŋ
821	創	宕開三平陽初	tsrhjang	ʈʂhwɑŋ
822	亡	宕合三平陽明	mjang	vɑ̏ŋ
823	孃	宕開三平陽孃	nrjang	niɑ̏ŋ
824	牀	宕開三平陽崇	dzrjang	ʈʂɦwɑ̏ŋ
825	莊	宕開三平陽莊	tsrjang	ʈʂwɑŋ
826	常	宕開三平陽常	dzyang	tʃɦiɑ̏ŋ
827	霜	宕開三平陽生	srjang	ʂwɑŋ
828	牆	宕開三平陽從	dzjang	tsɦiɑ̏ŋ
829	鏘	宕開三平陽清	tshjang	tshiɑŋ
830	匡	宕合三平陽溪	khjwang	khwɑŋ
831	王	宕合三平陽云	hjwang	wɑ̏ŋ
832	央	宕開三平陽影	'jang	ʔiɑŋ
833	強	宕開三平陽羣	gjang	kɦiɑ̏ŋ
834	𦳝	宕開三平陽徹	trhjang	tʃhiɑŋ
835	芳	宕合三平陽滂	phjang	fɑŋ
836	狂	宕合三平陽羣	gjwang	kɦwɑ̏ŋ
837	唐	宕開一平唐定	dang	tɦɑ̏ŋ
838	郎	宕開一平唐來	lang	lɑ̏ŋ
839	當	宕開一平唐端	tang	tɑŋ
840	倉	宕開一平唐清	tshang	tshɑŋ
841	岡	宕開一平唐見	kang	kɑŋ
842	桑	宕開一平唐心	sang	sɑŋ
843	康	宕開一平唐溪	khang	khɑŋ
844	荒	宕合一平唐曉	xwang	hwɑŋ
845	黃	宕合一平唐匣	hwang	ɦwɑ̏ŋ
846	光	宕合一平唐見	kwang	kwɑŋ
847	湯	宕開一平唐透	thang	thɑŋ
848	滂	宕開一平唐滂	phang	phɑŋ
849	汪	宕合一平唐影	'wang	ʔwɑŋ
850	鴦	宕開一平唐影	'ang	ʔɑŋ
851	炕	宕開一平唐曉	xang	hɑŋ
852	航	宕開一平唐匣	hang	ɦɑ̏ŋ
853	茫	宕開一平唐明	mang	mɑ̏ŋ
854	臧	宕開一平唐精	tsang	tsɑŋ
855	囊	宕開一平唐泥	nang	nɑ̏ŋ
856	傍	宕開一平唐並	bang	pɦɑ̏ŋ
857	卬	宕開一平唐疑	ngang	ŋɑ̏ŋ
858	藏	宕開一平唐從	dzang	tsɦɑ̏ŋ
859	䯑	宕合一平唐溪	khwang	khwɑŋ
860	幫	宕開一平唐幫	pang	pɑŋ
861	庚	梗開二平庚見	kaeng	kəŋ
862	阬	梗開二平庚溪	khaeng	khəŋ
863	盲	梗開二平庚明	maeng	mə̏ŋ
864	橫	梗合二平庚匣	hwaeng	ɦwə̏ŋ
865	閍	梗開二平庚幫	paeng	pəŋ
866	諻	梗合二平庚曉	xwaeng	hwəŋ
867	觵	梗合二平庚見	kwaeng	kwəŋ
868	彭	梗開二平庚並	baeng	pɦə̏ŋ
869	脝	梗開二平庚曉	xaeng	həŋ
870	瞠	梗開二平庚徹	trhaeng	ʈʂhəŋ
871	鎗	梗開二平庚初	tsrhaeng	ʈʂhəŋ
872	傖	梗開二平庚崇	dzraeng	ʈʂɦə̏ŋ
873	霙	梗開三平庚影	'jaeng	ʔiŋ
874	磅	梗開三平庚滂	phjaeng	phiŋ
875	平	梗開三平庚並	bjaeng	pɦȉŋ
876	驚	梗開三平庚見	kjaeng	kiŋ
877	明	梗開三平庚明	mjaeng	mȉŋ
878	棖	梗開二平庚澄	draeng	ʈʂɦə̏ŋ
879	趟	梗開二平庚知	traeng	ʈʂəŋ
880	榮	梗合三平庚云	hjwaeng	jyuə̏ŋ
881	兵	梗開三平庚幫	pjaeng	piŋ
882	兄	梗合三平庚曉	xjwaeng	hyuəŋ
883	卿	梗開三平庚溪	khjaeng	khiŋ
884	生	梗開二平庚生	sraeng	ʂəŋ
885	擎	梗開三平庚羣	gjaeng	kɦȉŋ
886	迎	梗開三平庚疑	ngjaeng	ŋjȉŋ
887	行	梗開二平庚匣	haeng	ɦə̏ŋ
888	鬤	梗開二平庚孃	nraeng	nə̏ŋ
889	耕	梗開二平耕見	keang	kəŋ
890	鏗	梗開二平耕溪	kheang	khəŋ
891	甍	梗開二平耕明	meang	mə̏ŋ
892	浜	梗開二平耕幫	peang	pəŋ
893	宏	梗合二平耕匣	hweang	ɦwə̏ŋ
894	莖	梗開二平耕匣	heang	ɦə̏ŋ
895	朾	梗開二平耕知	treang	ʈʂəŋ
896	甖	梗開二平耕影	'eang	ʔəŋ
897	崢	梗開二平耕崇	dzreang	ʈʂɦə̏ŋ
898	琤	梗開二平耕初	tsrheang	ʈʂhəŋ
899	儜	梗開二平耕孃	nreang	nə̏ŋ
900	怦	梗開二平耕滂	pheang	phəŋ
901	轟	梗合二平耕曉	xweang	hwəŋ
902	繃	梗開二平耕幫	peang	pəŋ
903	橙	梗開二平耕澄	dreang	ʈʂɦə̏ŋ
904	泓	梗合二平耕影	'weang	ʔwəŋ
905	輣	梗開二平耕並	beang	pɦə̏ŋ
906	娙	梗開二平耕疑	ngeang	ŋə̏ŋ
907	爭	梗開二平耕莊	tsreang	ʈʂəŋ
908	清	梗開三平清清	tshjeng	tshiŋ
909	情	梗開三平清從	dzjeng	tsɦȉŋ
910	精	梗開三平清精	tsjeng	tsiŋ
911	盈	梗開三平清以	yeng	jȉŋ
912	營	梗合三平清以	yweng	jyuə̏ŋ
913	嬰	梗開三平清影	'jieng	ʔiŋ
914	貞	梗開三平清知	trjeng	tʃiŋ
915	檉	梗開三平清徹	trhjeng	tʃhiŋ
916	成	梗開三平清常	dzyeng	tʃɦȉŋ
917	呈	梗開三平清澄	drjeng	tʃɦȉŋ
918	聲	梗開三平清書	syeng	ʃiŋ
919	征	梗開三平清章	tsyeng	tʃiŋ
920	輕	梗開三平清溪	khjieng	khiŋ
921	名	梗開三平清明	mjieng	mȉŋ
922	跉	梗開三平清來	ljeng	lȉŋ
923	并	梗開三平清幫	pjieng	piŋ
924	傾	梗合三平清溪	khjwieng	khyuəŋ
925	𩛿	梗開三平清邪	zjeng	szȉŋ
926	縈	梗合三平清影	'jwieng	ʔyuəŋ
927	瓊	梗合三平清羣	gjwieng	kɦyuə̏ŋ
928	騂	梗合三平清心	sjweng	syuəŋ
929	頸	梗開三平清羣	gjieng	kɦȉŋ
930	𧵣	梗合三平清曉	xjweng	hyuəŋ
931	靑	梗開四平青清	tsheng	tshiŋ
932	經	梗開四平青見	keng	kiŋ
933	㓝	梗開四平青匣	heng	ɦȉŋ
934	庭	梗開四平青定	deng	tɦȉŋ
935	丁	梗開四平青端	teng	tiŋ
936	馨	梗開四平青曉	xeng	hiŋ
937	星	梗開四平青心	seng	siŋ
938	竮	梗開四平青滂	pheng	phiŋ
939	靈	梗開四平青來	leng	lȉŋ
940	寧	梗開四平青泥	neng	nȉŋ
941	汀	梗開四平青透	theng	thiŋ
942	冥	梗開四平青明	meng	mȉŋ
943	瓶	梗開四平青並	beng	pɦȉŋ
944	熒	梗合四平青匣	hweng	ɦyuə̏ŋ
945	扃	梗合四平青見	kweng	kyuəŋ
946	蒸	曾開三平蒸章	tsying	tʃiŋ
947	承	曾開三平蒸常	dzying	tʃɦȉŋ
948	澂	曾開三平蒸澄	dring	tʃɦȉŋ
949	陵	曾開三平蒸來	ling	lȉŋ
950	膺	曾開三平蒸影	'ing	ʔiŋ
951	凭	曾開三平蒸並	bing	pɦȉŋ
952	冫	曾開三平蒸幫	ping	piŋ
953	蠅	曾開三平蒸以	ying	jȉŋ
954	繩	曾開三平蒸船	zying	ʃʒȉŋ
955	升	曾開三平蒸書	sying	ʃiŋ
956	仍	曾開三平蒸日	nying	ʒȉŋ
957	兢	曾開三平蒸見	king	kiŋ
958	徵	曾開三平蒸知	tring	tʃiŋ
959	繒	曾開三平蒸從	dzing	tsɦȉŋ
960	凝	曾開三平蒸疑	nging	ŋjȉŋ
961	興	曾開三平蒸曉	xing	hiŋ
962	稱	曾開三平蒸昌	tsyhing	tʃhiŋ
963	殑	曾開三平蒸羣	ging	kɦȉŋ
964	㱡	曾開三平蒸生	sring	ʂəŋ
965	硱	曾開三平蒸溪	khing	khiŋ
966	僜	曾開三平蒸徹	trhing	tʃhiŋ
967	磳	曾開三平蒸崇	dzring	ʈʂɦə̏ŋ
968	砯	曾開三平蒸滂	phing	phiŋ
969	登	曾開一平登端	tong	təŋ
970	楞	曾開一平登來	long	lə̏ŋ
971	僧	曾開一平登心	song	səŋ
972	崩	曾開一平登幫	pong	pəŋ
973	增	曾開一平登精	tsong	tsəŋ
974	瞢	曾開一平登明	mong	mə̏ŋ
975	層	曾開一平登從	dzong	tsɦə̏ŋ
976	朋	曾開一平登並	bong	pɦə̏ŋ
977	弘	曾合一平登匣	hwong	ɦwə̏ŋ
978	肱	曾合一平登見	kwong	kwəŋ
979	薨	曾合一平登曉	xwong	hwəŋ
980	能	曾開一平登泥	nong	nə̏ŋ
981	騰	曾開一平登定	dong	tɦə̏ŋ
982	恒	曾開一平登匣	hong	ɦə̏ŋ
983	搄	曾開一平登見	kong	kəŋ
984	鼟	曾開一平登透	thong	thəŋ
985	漰	曾開一平登滂	phong	phəŋ
986	尤	流開三平尤云	hjuw	jiȍw
987	憂	流開三平尤影	'juw	ʔiow
988	劉	流開三平尤來	ljuw	liȍw
989	秋	流開三平尤清	tshjuw	tshiow
990	猷	流開三平尤以	yuw	jiȍw
991	牛	流開三平尤疑	ngjuw	ŋjiȍw
992	遒	流開三平尤精	tsjuw	tsiow
993	酋	流開三平尤從	dzjuw	tsɦiȍw
994	脩	流開三平尤心	sjuw	siow
995	抽	流開三平尤徹	trhjuw	tʃhiow
996	恘	流開三平尤溪	khjuw	khiow
997	犫	流開三平尤昌	tsyhuw	tʃhiow
998	周	流開三平尤章	tsyuw	tʃiow
999	讎	流開三平尤常	dzyuw	ʃʒiȍw
1000	柔	流開三平尤日	nyuw	ʒiȍw
1001	收	流開三平尤書	syuw	ʃiow
1002	丘	流開三平尤溪	khjuw	khiow
1003	䬌	流開三平尤滂	phjuw	fow
1004	鳩	流開三平尤見	kjuw	kiow
1005	不	流開三平尤幫	pjuw	fow
1006	𢯱	流開三平尤生	srjuw	ʂow
1007	搊	流開三平尤初	tsrhjuw	ʈʂhow
1008	鄒	流開三平尤莊	tsrjuw	ʈʂow
1009	愁	流開三平尤崇	dzrjuw	ʈʂɦȍw
1010	休	流開三平尤曉	xjuw	hiow
1011	囚	流開三平尤邪	zjuw	sziȍw
1012	儔	流開三平尤澄	drjuw	tʃɦiȍw
1013	輈	流開三平尤知	trjuw	tʃiow
1014	𧚍	流開三平尤羣	gjuw	kɦiȍw
1015	浮	流開三平尤並	bjuw	fvȍw
1016	謀	流開三平尤明	mjuw	mȍw
1017	侯	流開一平侯匣	huw	ɦȍw
1018	謳	流開一平侯影	'uw	ʔow
1019	羺	流開一平侯泥	nuw	nȍw
1020	樓	流開一平侯來	luw	lȍw
1021	涑	流開一平侯心	suw	sow
1022	彄	流開一平侯溪	khuw	khow
1023	齁	流開一平侯曉	xuw	how
1024	𣠏	流開一平侯精	tsuw	tsow
1025	偷	流開一平侯透	thuw	thow
1026	頭	流開一平侯定	duw	tɦȍw
1027	齵	流開一平侯疑	nguw	ŋȍw
1028	鉤	流開一平侯見	kuw	kow
1029	兜	流開一平侯端	tuw	tow
1030	㔌	流開一平侯從	dzuw	tsɦȍw
1031	裒	流開一平侯並	buw	pɦȍw
1032	䜅	流開一平侯清	tshuw	tshow
1033	呣	流開一平侯明	muw	mȍw
1034	幽	流開三平幽影	'jiw	ʔiow
1035	虯	流開三平幽羣	gjiw	kɦiȍw
1036	彪	流開三平幽幫	pjiw	piow
1037	鏐	流開三平幽來	ljiw	liȍw
1038	樛	流開三平幽見	kjiw	kiow
1039	淲	流開三平幽並	bjiw	pɦiȍw
1040	稵	流開三平幽精	tsjiw	tsiow
1041	犙	流開三平幽生	srjiw	ʂow
1042	聱	流開三平幽疑	ngjiw	ŋjiȍw
1043	飍	流開三平幽曉	xjiw	hiow
1044	繆	流開三平幽明	mjiw	miȍw
1045	侵	深開三平侵清	tshim	tshim
1046	尋	深開三平侵邪	zim	szȉm
1047	林	深開三平侵來	lim	lȉm
1048	琛	深開三平侵徹	trhim	tʃhim
1049	斟	深開三平侵章	tsyim	tʃim
1050	沈	深開三平侵澄	drim	tʃɦȉm
1051	碪	深開三平侵知	trim	tʃim
1052	諶	深開三平侵常	dzyim	tʃɦȉm
1053	任	深開三平侵日	nyim	ʒȉm
1054	深	深開三平侵書	syim	ʃim
1055	淫	深開三平侵以	yim	jȉm
1056	心	深開三平侵心	sim	sim
1057	愔	深開三平侵影A	'jim	ʔim
1058	祲	深開三平侵精	tsim	tsim
1059	𩷒	深開三平侵從	dzim	tsɦȉm
1060	䛘	深開三平侵孃	nrim	nȉm
1061	琴	深開三平侵羣B	gim	kɦȉm
1062	欽	深開三平侵溪B	khim	khim
1063	吟	深開三平侵疑B	ngim	ŋjȉm
1064	歆	深開三平侵曉B	xim	him
1065	金	深開三平侵見B	kim	kim
1066	音	深開三平侵影B	'im	ʔim
1067	森	深開三平侵生	srim	ʂəm
1068	岑	深開三平侵崇	dzrim	ʈʂɦə̏m
1069	兂	深開三平侵莊	tsrim	ʈʂəm
1070	嵾	深開三平侵初	tsrhim	ʈʂhəm
1071	𧡪	深開三平侵昌	tsyhim	tʃhim
1072	覃	咸開一平覃定	dom	tɦȁm
1073	參	咸開一平覃清	tshom	tsham
1074	南	咸開一平覃泥	nom	nȁm
1075	諳	咸開一平覃影	'om	ʔam
1076	含	咸開一平覃匣	hom	ɦȁm
1077	婪	咸開一平覃來	lom	lȁm
1078	蠶	咸開一平覃從	dzom	tsɦȁm
1079	簪	咸開一平覃精	tsom	tsam
1080	探	咸開一平覃透	thom	tham
1081	耽	咸開一平覃端	tom	tam
1082	龕	咸開一平覃溪	khom	kham
1083	㟏	咸開一平覃曉	xom	ham
1084	毿	咸開一平覃心	som	sam
1085	弇	咸開一平覃見	kom	kam
1086	䜙	咸開一平覃疑	ngom	ŋȁm
1087	談	咸開一平談定	dam	tɦȁm
1088	甘	咸開一平談見	kam	kam
1089	擔	咸開一平談端	tam	tam
1090	三	咸開一平談心	sam	sam
1091	藍	咸開一平談來	lam	lȁm
1092	坩	咸開一平談溪	kham	kham
1093	舑	咸開一平談透	tham	tham
1094	慙	咸開一平談從	dzam	tsɦȁm
1095	酣	咸開一平談匣	ham	ɦȁm
1096	姏	咸開一平談明	mam	mȁm
1097	𩈻	咸開一平談從	dzam	tsɦȁm
1098	蚶	咸開一平談曉	xam	ham
1099	鹽	咸開三平鹽以	yem	jiɛ̏m
1100	廉	咸開三平鹽來	ljem	liɛ̏m
1101	砭	咸開三平鹽幫B	pjem	piɛm
1102	銛	咸開三平鹽心	sjem	siɛm
1103	籤	咸開三平鹽清	tshjem	tshiɛm
1104	詹	咸開三平鹽章	tsyem	tʃiɛm
1105	棎	咸開三平鹽常	dzyem	tʃɦiɛ̏m
1106	苫	咸開三平鹽書	syem	ʃiɛm
