正韻卷番	韻目	IPA	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
2	魚	ʃy	○	書	商居切	87	書	商居切
2	魚	tʃy	○	諸	専於切	88	諸	專於切
2	魚	tʃɦy̏	○	除	長魚切	89	除	長魚切
2	魚	ʃʒy̏	○	殊	尚朱切	90	殊	尚朱切
2	魚	ʒy̏	○	如	人余切	91	如	人余切
2	魚	ny̏	○	袽	女居切	92	袽	女居切
2	魚	tʃhy	○	樞	抽居切	93	樞	抽居切
2	魚	ly̏	○	閭	凌如切	94	閭	淩如切
2	魚	tshy	○	趨	逡須切	95	趨	逡須切
2	模	mȕ	五模¶¶	模	莫胡切	96	模	莫胡切
2	模	phu	○	鋪	滂模切	97	鋪	滂模切
2	模	pu	○	逋	奔謨切	98	逋	奔謨切
2	模	tsu	○	租	宗蘇切	99	租	宗蘇切
2	模	tsɦȕ	○	徂	叢租切	100	徂	叢租切
2	模	pɦȕ	○	蒲	薄胡切	101	蒲	薄胡切
2	模	tu	○	都	東徒切	102	都	東徒切
2	模	tɦȕ	○	徒	同都切	103	徒	同都切
2	模	lȕ	○	盧	龍都切	104	盧	龍都切
2	模	nȕ	○	奴	農都切	105	奴	農都切
2	模	ɦȕ	○	胡	洪孤切	106	胡	洪孤切
2	模	ku	○	孤	攻乎切	107	孤	攻乎切
2	模	khu	○	枯	空胡切	108	枯	空胡切
2	模	hu	○	呼	荒胡切	109	呼	荒胡切
2	模	ŋȕ	○	吾	訛胡切	110	吾	訛胡切
2	模	tshu	○	麤	倉胡切	111	麤	倉胡切
2	模	ʔu	○	烏	汪胡切	112	烏	汪胡切
2	模	su	○	蘇	孫租切	113	蘇	孫租切
2	模	tʂhu	○	初	楚徂切	114	初	楚徂切
2	模	ʂu	○	蔬	山徂切	115	蔬	山徂切
2	模	fu	○	敷	芳無切	116	敷	芳無切
2	模	fvȕ	○	扶	逢夫切	117	扶	逢夫切
2	模	vȕ	○	無	微夫切	118	無	微夫切
2	皆	kiai	六皆¶¶	皆	居諧切	119	皆	居諧切
2	皆	khiai	○	𦂄	丘皆切	120	𦂄	丘皆切
2	皆	ɦiȁi	○	諧	雄皆切	121	諧	雄皆切
2	皆	kwai	○	乖	公懐切	122	乖	公懷切
2	皆	ɦwȁi	○	懷	乎乖切	123	懷	乎乖切
2	皆	tʂhai	○	差	初皆切	124	差	初皆切
