# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
887	行	梗開二平庚匣	haeng	ɦiŋ˩	꜁ㄒㄧㄥ	꜁ㄒㄧㄥ
888	鬤	梗開二平庚孃	nraeng	nəŋ˩	꜁ㄋㄥ	꜁ㄋㄥ
889	耕	梗開二平耕見	keang	kəŋ/kiŋ	ㄍㄥ/ㄐㄧㄥ	ㄍㄥ
890	鏗	梗開二平耕溪	kheang	kʰəŋ	ㄎㄥ	ㄎㄥ
891	甍	梗開二平耕明	meang	məŋ˩	꜁ㄇㄥ	꜁ㄇㄥ
892	浜	梗開二平耕幫	peang	pəŋ	ㄅㄥ	ㄅㄥ
893	宏	梗合二平耕匣	hweang	ɦwəŋ˩	꜁ㄏㄨㄜㄥ	꜁ㄏㄨㄥ
894	莖	梗開二平耕匣	heang	ɦiŋ˩	꜁ㄒㄧㄥ	꜁ㄒㄧㄥ
895	朾	梗開二平耕知	treang	ʈʂəŋ	ㄓㄥ	ㄓㄥ
896	甖	梗開二平耕影	’eang	ʔiŋ	ㄧㄥ	ㄧㄥ
897	崢	梗開二平耕崇	dzreang	ʈʂʱəŋ˩	꜁ㄔㄥ	꜁ㄔㄥ
898	琤	梗開二平耕初	tsrheang	ʈʂʰəŋ	ㄔㄥ	ㄔㄥ
899	儜	梗開二平耕孃	nreang	nəŋ˩	꜁ㄋㄥ	꜁ㄋㄥ
900	怦	梗開二平耕滂	pheang	pʰəŋ	ㄆㄥ	ㄆㄥ
901	轟	梗合二平耕曉	xweang	hwəŋ	ㄏㄨㄜㄥ	ㄏㄨㄥ
902	繃	梗開二平耕幫	peang	pəŋ	ㄅㄥ	ㄅㄥ
903	橙	梗開二平耕澄	dreang	ʈʂʱəŋ˩	꜁ㄔㄥ	꜁ㄔㄥ
904	泓	梗合二平耕影	’weang	ʔwəŋ	ㄨㄜㄥ	ㄨㄥ
905	輣	梗開二平耕並	beang	pʱəŋ˩	꜁ㄆㄥ	꜁ㄆㄥ
906	娙	梗開二平耕疑	ngeang	(ŋ)iŋ˩	꜁(ㄫ)ㄧㄥ	꜁ㄧㄥ
907	爭	梗開二平耕莊	tsreang	ʈʂəŋ	ㄓㄥ	ㄓㄥ
908	清	梗開三平清清	tshjeng	tsʰiŋ	ㄘㄧㄥ	ㄘㄧㄥ
909	情	梗開三平清從	dzjeng	tsʱiŋ˩	꜁ㄘㄧㄥ	꜁ㄘㄧㄥ
910	精	梗開三平清精	tsjeng	tsiŋ	ㄗㄧㄥ	ㄗㄧㄥ
911	盈	梗開三平清以	yeng	jiŋ˩	꜁ㄧㄥ	꜁ㄧㄥ
912	營	梗合三平清以	yweng	jyuəŋ˩	꜁ㄩㄜㄥ	꜁ㄩㄥ
913	嬰	梗開三平清影	’jieng	ʔiŋ	ㄧㄥ	ㄧㄥ
914	貞	梗開三平清知	trjeng	tʃiŋ	ㄓㄧㄥ	ㄓㄥ
915	檉	梗開三平清徹	trhjeng	tʃʰiŋ	ㄔㄧㄥ	ㄔㄥ
916	成	梗開三平清常	dzyeng	tʃʱiŋ˩	꜁ㄔㄧㄥ	꜁ㄔㄥ
917	呈	梗開三平清澄	drjeng	tʃʱiŋ˩	꜁ㄔㄧㄥ	꜁ㄔㄥ
918	聲	梗開三平清書	syeng	ʃiŋ	ㄕㄧㄥ	ㄕㄥ
919	征	梗開三平清章	tsyeng	tʃiŋ	ㄓㄧㄥ	ㄓㄥ
920	輕	梗開三平清溪	khjieng	kʰiŋ	ㄑㄧㄥ	ㄑㄧㄥ
921	名	梗開三平清明	mjieng	miŋ˩	꜁ㄇㄧㄥ	꜁ㄇㄧㄥ
922	跉	梗開三平清來	ljeng	liŋ˩	꜁ㄌㄧㄥ	꜁ㄌㄧㄥ
923	并	梗開三平清幫	pjieng	piŋ	ㄅㄧㄥ	ㄅㄧㄥ
924	傾	梗合三平清溪	khjwieng	kʰyuəŋ	ㄑㄩㄜㄥ	ㄑㄩㄥ
925	𩛿	梗開三平清邪	zjeng	sʱiŋ˩	꜁ㄙㄧㄥ	꜁ㄙㄧㄥ
926	縈	梗合三平清影	’jwieng	ʔyuəŋ	ㄩㄜㄥ	ㄩㄥ
927	瓊	梗合三平清羣	gjwieng	kʱyuəŋ˩	꜁ㄑㄩㄜㄥ	꜁ㄑㄩㄥ
928	騂	梗合三平清心	sjweng	syuəŋ	ㄙㄩㄜㄥ	ㄙㄩㄥ
929	頸	梗開三平清羣	gjieng	kʱiŋ˩	꜁ㄑㄧㄥ	꜁ㄑㄧㄥ
930	𧵣	梗合三平清曉	xjwieng	hyuəŋ	ㄒㄩㄜㄥ	ㄒㄩㄥ
931	靑	梗開四平青清	tsheng	tsʰiŋ	ㄘㄧㄥ	ㄘㄧㄥ
932	經	梗開四平青見	keng	kiŋ	ㄐㄧㄥ	ㄐㄧㄥ
933	㓝	梗開四平青匣	heng	ɦiŋ˩	꜁ㄒㄧㄥ	꜁ㄒㄧㄥ
934	庭	梗開四平青定	deng	tʱiŋ˩	꜁ㄊㄧㄥ	꜁ㄊㄧㄥ
935	丁	梗開四平青端	teng	tiŋ	ㄉㄧㄥ	ㄉㄧㄥ
936	馨	梗開四平青曉	xeng	hiŋ	ㄒㄧㄥ	ㄒㄧㄥ
937	星	梗開四平青心	seng	siŋ	ㄙㄧㄥ	ㄙㄧㄥ
938	竮	梗開四平青滂	pheng	pʰiŋ	ㄆㄧㄥ	ㄆㄧㄥ
939	靈	梗開四平青來	leng	liŋ˩	꜁ㄌㄧㄥ	꜁ㄌㄧㄥ
940	寧	梗開四平青泥	neng	niŋ˩	꜁ㄋㄧㄥ	꜁ㄋㄧㄥ
941	汀	梗開四平青透	theng	tʰiŋ	ㄊㄧㄥ	ㄊㄧㄥ
942	冥	梗開四平青明	meng	miŋ˩	꜁ㄇㄧㄥ	꜁ㄇㄧㄥ
943	瓶	梗開四平青並	beng	pʱiŋ˩	꜁ㄆㄧㄥ	꜁ㄆㄧㄥ
944	熒	梗合四平青匣	hweng	ɦyuəŋ˩	꜁ㄒㄩㄜㄥ	꜁ㄒㄩㄥ
945	扃	梗合四平青見	kweng	kyuəŋ	ㄐㄩㄜㄥ	ㄐㄩㄥ
946	蒸	曾開三平蒸章	tsying	tʃiŋ	ㄓㄧㄥ	ㄓㄥ
947	承	曾開三平蒸常	dzying	tʃʱiŋ˩	꜁ㄔㄧㄥ	꜁ㄔㄥ
948	澂	曾開三平蒸澄	dring	tʃʱiŋ˩	꜁ㄔㄧㄥ	꜁ㄔㄥ
949	陵	曾開三平蒸來	ling	liŋ˩	꜁ㄌㄧㄥ	꜁ㄌㄧㄥ
950	膺	曾開三平蒸影	’ing	ʔiŋ	ㄧㄥ	ㄧㄥ
951	凭	曾開三平蒸並	bing	pʱiŋ˩	꜁ㄆㄧㄥ	꜁ㄆㄧㄥ
952	冫	曾開三平蒸幫	ping	piŋ	ㄅㄧㄥ	ㄅㄧㄥ
953	蠅	曾開三平蒸以	ying	jiŋ˩	꜁ㄧㄥ	꜁ㄧㄥ
954	繩	曾開三平蒸船	zying	ʃʱiŋ˩	꜁ㄕㄧㄥ	꜁ㄕㄥ
955	升	曾開三平蒸書	sying	ʃiŋ	ㄕㄧㄥ	ㄕㄥ
956	仍	曾開三平蒸日	nying	ʒiŋ˩	꜁ㄖㄧㄥ	꜁ㄖㄥ
957	兢	曾開三平蒸見	king	kiŋ	ㄐㄧㄥ	ㄐㄧㄥ
958	徵	曾開三平蒸知	tring	tʃiŋ	ㄓㄧㄥ	ㄓㄥ
959	繒	曾開三平蒸從	dzing	tsʱiŋ˩	꜁ㄘㄧㄥ	꜁ㄘㄧㄥ
960	凝	曾開三平蒸疑	nging	ŋiŋ˩/jiŋ˩	꜁ㄫㄧㄥ/꜁ㄧㄥ	꜁ㄬㄧㄥ
961	興	曾開三平蒸曉	xing	hiŋ	ㄒㄧㄥ	ㄒㄧㄥ
962	稱	曾開三平蒸昌	tsyhing	tʃʰiŋ	ㄔㄧㄥ	ㄔㄥ
963	殑	曾開三平蒸羣	ging	kʱiŋ˩	꜁ㄑㄧㄥ	꜁ㄑㄧㄥ
964	㱡	曾開三平蒸生	sring	ʂəŋ	ㄕㄥ	ㄕㄥ
965	硱	曾開三平蒸溪	khing	kʰiŋ	ㄑㄧㄥ	ㄑㄧㄥ
966	僜	曾開三平蒸徹	trhing	tʃʰiŋ	ㄔㄧㄥ	ㄔㄥ
967	磳	曾開三平蒸崇	dzring	ʈʂʱəŋ˩	꜁ㄔㄥ	꜁ㄔㄥ
968	砯	曾開三平蒸滂	phing	pʰiŋ	ㄆㄧㄥ	ㄆㄧㄥ
969	登	曾開一平登端	tong	təŋ	ㄉㄥ	ㄉㄥ
970	楞	曾開一平登來	long	ləŋ˩	꜁ㄌㄥ	꜁ㄌㄥ
971	僧	曾開一平登心	song	səŋ	ㄙㄥ	ㄙㄥ
972	崩	曾開一平登幫	pong	pəŋ	ㄅㄥ	ㄅㄥ
973	增	曾開一平登精	tsong	tsəŋ	ㄗㄥ	ㄗㄥ
974	瞢	曾開一平登明	mong	məŋ˩	꜁ㄇㄥ	꜁ㄇㄥ
975	層	曾開一平登從	dzong	tsʱəŋ˩	꜁ㄘㄥ	꜁ㄘㄥ
976	朋	曾開一平登並	bong	pʱəŋ˩	꜁ㄆㄥ	꜁ㄆㄥ
977	弘	曾合一平登匣	hwong	ɦwəŋ˩	꜁ㄏㄨㄜㄥ	꜁ㄏㄨㄥ
978	肱	曾合一平登見	kwong	kwəŋ	ㄍㄨㄜㄥ	ㄍㄨㄥ
979	薨	曾合一平登曉	xwong	hwəŋ	ㄏㄨㄜㄥ	ㄏㄨㄥ
980	能	曾開一平登泥	nong	nəŋ˩	꜁ㄋㄥ	꜁ㄋㄥ
981	騰	曾開一平登定	dong	tʱəŋ˩	꜁ㄊㄥ	꜁ㄊㄥ
982	恒	曾開一平登匣	hong	ɦəŋ˩	꜁ㄏㄥ	꜁ㄏㄥ
983	搄	曾開一平登見	kong	kəŋ	ㄍㄥ	ㄍㄥ
984	鼟	曾開一平登透	thong	tʰəŋ	ㄊㄥ	ㄊㄥ
985	漰	曾開一平登滂	phong	pʰəŋ	ㄆㄥ	ㄆㄥ
986	尤	流開三平尤云	hjuw	jiw˩	꜁ㄧㄡ	꜁ㄧㄡ
987	憂	流開三平尤影	’juw	ʔiw	ㄧㄡ	ㄧㄡ
988	劉	流開三平尤來	ljuw	liw˩	꜁ㄌㄧㄡ	꜁ㄌㄧㄡ
989	秋	流開三平尤清	tshjuw	tsʰiw	ㄘㄧㄡ	ㄘㄧㄡ
990	猷	流開三平尤以	yuw	jiw˩	꜁ㄧㄡ	꜁ㄧㄡ
991	牛	流開三平尤疑	ngjuw	ŋiw˩/jiw˩	꜁ㄫㄧㄡ/꜁ㄧㄡ	꜁ㄬㄧㄡ
992	遒	流開三平尤精	tsjuw	tsiw	ㄗㄧㄡ	ㄗㄧㄡ
993	酋	流開三平尤從	dzjuw	tsʱiw˩	꜁ㄘㄧㄡ	꜁ㄘㄧㄡ
994	脩	流開三平尤心	sjuw	siw	ㄙㄧㄡ	ㄙㄧㄡ
995	抽	流開三平尤徹	trhjuw	tʃʰiw	ㄔㄧㄡ	ㄔㄡ
996	恘	流開三平尤溪	khjuw	kʰiw	ㄑㄧㄡ	ㄑㄧㄡ
997	犫	流開三平尤昌	tsyhuw	tʃʰiw	ㄔㄧㄡ	ㄔㄡ
998	周	流開三平尤章	tsyuw	tʃiw	ㄓㄧㄡ	ㄓㄡ
999	讎	流開三平尤常	dzyuw	tʃʱiw˩	꜁ㄔㄧㄡ	꜁ㄔㄡ
1000	柔	流開三平尤日	nyuw	ʒiw˩	꜁ㄖㄧㄡ	꜁ㄖㄡ
1001	收	流開三平尤書	syuw	ʃiw	ㄕㄧㄡ	ㄕㄡ
1002	丘	流開三平尤溪	khjuw	kʰiw	ㄑㄧㄡ	ㄑㄧㄡ
1003	䬌	流開三平尤滂	phjuw	fəw	ㄈㄡ	ㄈㄡ
1004	鳩	流開三平尤見	kjuw	kiw	ㄐㄧㄡ	ㄐㄧㄡ
1005	不	流開三平尤幫	pjuw	fəw	ㄈㄡ	ㄈㄡ
1006	𢯱	流開三平尤生	srjuw	ʂəw	ㄕㄡ	ㄙㄡ
1007	搊	流開三平尤初	tsrhjuw	ʈʂʰəw	ㄔㄡ	ㄘㄡ
1008	鄒	流開三平尤莊	tsrjuw	ʈʂəw	ㄓㄡ	ㄗㄡ
1009	愁	流開三平尤崇	dzrjuw	ʈʂʱəw˩	꜁ㄔㄡ	꜁ㄘㄡ
1010	休	流開三平尤曉	xjuw	hiw	ㄒㄧㄡ	ㄒㄧㄡ
1011	囚	流開三平尤邪	zjuw	sʱiw˩	꜁ㄙㄧㄡ	꜁ㄙㄧㄡ
1012	儔	流開三平尤澄	drjuw	tʃʱiw˩	꜁ㄔㄧㄡ	꜁ㄔㄡ
1013	輈	流開三平尤知	trjuw	tʃiw	ㄓㄧㄡ	ㄓㄡ
1014	𧚍	流開三平尤羣	gjuw	kʱiw˩	꜁ㄑㄧㄡ	꜁ㄑㄧㄡ
1015	浮	流開三平尤並	bjuw	fʱəw˩	꜁ㄈㄡ	꜁ㄈㄡ
1016	謀	流開三平尤明	mjuw	məw˩	꜁ㄇㄡ	꜁ㄇㄡ
1017	侯	流開一平侯匣	huw	ɦəw˩	꜁ㄏㄡ	꜁ㄏㄡ
1018	謳	流開一平侯影	’uw	ʔəw	ㄡ	ㄡ
1019	羺	流開一平侯泥	nuw	nəw˩	꜁ㄋㄡ	꜁ㄋㄡ
1020	樓	流開一平侯來	luw	ləw˩	꜁ㄌㄡ	꜁ㄌㄡ
1021	涑	流開一平侯心	suw	səw	ㄙㄡ	ㄙㄡ
1022	彄	流開一平侯溪	khuw	kʰəw	ㄎㄡ	ㄎㄡ
1023	齁	流開一平侯曉	xuw	həw	ㄏㄡ	ㄏㄡ
1024	𣠏	流開一平侯精	tsuw	tsəw	ㄗㄡ	ㄗㄡ
1025	偷	流開一平侯透	thuw	tʰəw	ㄊㄡ	ㄊㄡ
1026	頭	流開一平侯定	duw	tʱəw˩	꜁ㄊㄡ	꜁ㄊㄡ
1027	齵	流開一平侯疑	nguw	ŋəw˩	꜁ㄫㄡ	꜁ㄫㄡ
1028	鉤	流開一平侯見	kuw	kəw	ㄍㄡ	ㄍㄡ
1029	兜	流開一平侯端	tuw	təw	ㄉㄡ	ㄉㄡ
1030	㔌	流開一平侯從	dzuw	tsʱəw˩	꜁ㄘㄡ	꜁ㄘㄡ
1031	裒	流開一平侯並	buw	pʱəw˩	꜁ㄆㄡ	꜁ㄆㄡ
1032	䜅	流開一平侯清	tshuw	tsʰəw	ㄘㄡ	ㄘㄡ
1033	呣	流開一平侯明	muw	məw˩	꜁ㄇㄡ	꜁ㄇㄡ
1034	幽	流開三平幽影	’jiw	ʔiw	ㄧㄡ	ㄧㄡ
1035	虯	流開三平幽羣	gjiw	kʱiw˩	꜁ㄑㄧㄡ	꜁ㄑㄧㄡ
1036	彪	流開三平幽幫	pjiw	piw	ㄅㄧㄡ	ㄅㄧㄡ
1037	鏐	流開三平幽來	ljiw	liw˩	꜁ㄌㄧㄡ	꜁ㄌㄧㄡ
1038	樛	流開三平幽見	kjiw	kiw	ㄐㄧㄡ	ㄐㄧㄡ
1039	淲	流開三平幽並	bjiw	pʱiw˩	꜁ㄆㄧㄡ	꜁ㄆㄧㄡ
1040	稵	流開三平幽精	tsjiw	tsiw	ㄗㄧㄡ	ㄗㄧㄡ
1041	犙	流開三平幽生	srjiw	ʂəw	ㄕㄡ	ㄙㄡ
1042	聱	流開三平幽疑	ngjiw	ŋiw˩/jiw˩	꜁ㄫㄧㄡ/꜁ㄧㄡ	꜁ㄬㄧㄡ
1043	飍	流開三平幽曉	xjiw	hiw	ㄒㄧㄡ	ㄒㄧㄡ
1044	繆	流開三平幽明	mjiw	miw˩	꜁ㄇㄧㄡ	꜁ㄇㄧㄡ
1045	侵	深開三平侵清	tshim	tsʰim	ㄘㄧㆬ	ㄘㄧㄣ
1046	尋	深開三平侵邪	zim	sʱim˩	꜁ㄙㄧㆬ	꜁ㄙㄧㄣ
1047	林	深開三平侵來	lim	lim˩	꜁ㄌㄧㆬ	꜁ㄌㄧㄣ
1048	琛	深開三平侵徹	trhim	tʃʰim	ㄔㄧㆬ	ㄔㄣ
1049	斟	深開三平侵章	tsyim	tʃim	ㄓㄧㆬ	ㄓㄣ
1050	沈	深開三平侵澄	drim	tʃʱim˩	꜁ㄔㄧㆬ	꜁ㄔㄣ
1051	碪	深開三平侵知	trim	tʃim	ㄓㄧㆬ	ㄓㄣ
1052	諶	深開三平侵常	dzyim	ʃʱim˩	꜁ㄕㄧㆬ	꜁ㄔㄣ
1053	任	深開三平侵日	nyim	ʒim˩	꜁ㄖㄧㆬ	꜁ㄖㄣ
1054	深	深開三平侵書	syim	ʃim	ㄕㄧㆬ	ㄕㄣ
1055	淫	深開三平侵以	yim	jim˩	꜁ㄧㆬ	꜁ㄧㄣ
1056	心	深開三平侵心	sim	sim	ㄙㄧㆬ	ㄙㄧㄣ
1057	愔	深開三平侵影A	’jim	ʔim	ㄧㆬ	ㄧㄣ
1058	祲	深開三平侵精	tsim	tsim	ㄗㄧㆬ	ㄗㄧㄣ
1059	𩷒	深開三平侵從	dzim	tsʱim˩	꜁ㄘㄧㆬ	꜁ㄘㄧㄣ
1060	䛘	深開三平侵孃	nrim	nim˩	꜁ㄋㄧㆬ	꜁ㄋㄧㄣ
1061	琴	深開三平侵羣B	gim	kʱim˩	꜁ㄑㄧㆬ	꜁ㄑㄧㄣ
1062	欽	深開三平侵溪B	khim	kʰim	ㄑㄧㆬ	ㄑㄧㄣ
1063	吟	深開三平侵疑B	ngim	(ŋ)im˩	꜁(ㄫ)ㄧㆬ	꜁(ㄫ)ㄧㄣ
1064	歆	深開三平侵曉B	xim	him	ㄒㄧㆬ	ㄒㄧㄣ
1065	金	深開三平侵見B	kim	kim	ㄐㄧㆬ	ㄐㄧㄣ
1066	音	深開三平侵影B	’im	ʔim	ㄧㆬ	ㄧㄣ
1067	森	深開三平侵生	srim	ʂəm	ㄕㆬ	ㄕㄣ
1068	岑	深開三平侵崇	dzrim	ʈʂʱəm˩	꜁ㄔㆬ	꜁ㄔㄣ
1069	兂	深開三平侵莊	tsrim	ʈʂəm	ㄓㆬ	ㄓㄣ
1070	嵾	深開三平侵初	tsrhim	ʈʂʰəm	ㄔㆬ	ㄔㄣ
1071	𧡪	深開三平侵昌	tsyhim	tʃʰim	ㄔㄧㆬ	ㄔㄣ
1072	覃	咸開一平覃定	dom	tʱam˩	꜁ㄊㆰ	꜁ㄊㄢ
1073	參	咸開一平覃清	tshom	tsʰam	ㄘㆰ	ㄘㄢ
1074	南	咸開一平覃泥	nom	nam˩	꜁ㄋㆰ	꜁ㄋㄢ
1075	諳	咸開一平覃影	’om	ʔam	ㆰ	ㄢ
1076	含	咸開一平覃匣	hom	ɦam˩	꜁ㄏㆰ	꜁ㄏㄢ
1077	婪	咸開一平覃來	lom	lam˩	꜁ㄌㆰ	꜁ㄌㄢ
1078	蠶	咸開一平覃從	dzom	tsʱam˩	꜁ㄘㆰ	꜁ㄘㄢ
1079	簪	咸開一平覃精	tsom	tsam	ㄗㆰ	ㄗㄢ
1080	探	咸開一平覃透	thom	tʰam	ㄊㆰ	ㄊㄢ
1081	耽	咸開一平覃端	tom	tam	ㄉㆰ	ㄉㄢ
1082	龕	咸開一平覃溪	khom	kʰam	ㄎㆰ	ㄎㄢ
1083	㟏	咸開一平覃曉	xom	ham	ㄏㆰ	ㄏㄢ
1084	毿	咸開一平覃心	som	sam	ㄙㆰ	ㄙㄢ
1085	弇	咸開一平覃見	kom	kam	ㄍㆰ	ㄍㄢ
1086	䜙	咸開一平覃疑	ngom	ŋam˩	꜁ㄫㆰ	꜁ㄫㄢ
1087	談	咸開一平談定	dam	tʱam˩	꜁ㄊㆰ	꜁ㄊㄢ
1088	甘	咸開一平談見	kam	kam	ㄍㆰ	ㄍㄢ
1089	擔	咸開一平談端	tam	tam	ㄉㆰ	ㄉㄢ
1090	三	咸開一平談心	sam	sam	ㄙㆰ	ㄙㄢ
1091	藍	咸開一平談來	lam	lam˩	꜁ㄌㆰ	꜁ㄌㄢ
1092	坩	咸開一平談溪	kham	kʰam	ㄎㆰ	ㄎㄢ
1093	舑	咸開一平談透	tham	tʰam	ㄊㆰ	ㄊㄢ
1094	慙	咸開一平談從	dzam	tsʱam˩	꜁ㄘㆰ	꜁ㄘㄢ
1095	酣	咸開一平談匣	ham	ɦam˩	꜁ㄏㆰ	꜁ㄏㄢ
1096	姏	咸開一平談明	mam	mam˩	꜁ㄇㆰ	꜁ㄇㄢ
1097	𩈻	咸開一平談從	dzam	tsʱam˩	꜁ㄘㆰ	꜁ㄘㄢ
1098	蚶	咸開一平談曉	xam	ham	ㄏㆰ	ㄏㄢ
1099	鹽	咸開三平鹽以	yem	jiɛm˩	꜁ㄧㄝㆬ	꜁ㄧㄢ
1100	廉	咸開三平鹽來	ljem	liɛm˩	꜁ㄌㄧㆰ	꜁ㄌㄧㄢ
1101	砭	咸開三平鹽幫B	pjem	piɛm	ㄅㄧㆰ	ㄅㄧㄢ
1102	銛	咸開三平鹽心	sjem	siɛm	ㄙㄧㆰ	ㄙㄧㄢ
1103	籤	咸開三平鹽清	tshjem	tsʰiɛm	ㄘㄧㆰ	ㄘㄧㄢ
1104	詹	咸開三平鹽章	tsyem	tʃiɛm	ㄓㄧㆰ	ㄓㄢ
1105	棎	咸開三平鹽常	dzyem	ʃʱiɛm˩	꜁ㄕㄧㆰ	꜁ㄕㄢ
1106	苫	咸開三平鹽書	syem	ʃiɛm	ㄕㄧㆰ	ㄕㄢ
1107	䪜	咸開三平鹽昌	tsyhem	tʃʰiɛm	ㄔㄧㆰ	ㄔㄢ
1108	𩓾	咸開三平鹽日	nyem	ʒiɛm˩	꜁ㄖㄧㆰ	꜁ㄖㄢ
1109	黏	咸開三平鹽孃	nrjem	niɛm˩	꜁ㄋㄧㆰ	꜁ㄋㄧㄢ
1110	炎	咸開三平鹽云	hjem	jiɛm˩	꜁ㄧㄝㆬ	꜁ㄧㄢ
1111	霑	咸開三平鹽知	trjem	tʃiɛm	ㄓㄧㆰ	ㄓㄢ
1112	覘	咸開三平鹽徹	trhjem	tʃʰiɛm	ㄔㄧㆰ	ㄔㄢ
1113	淹	咸開三平鹽影B	’jem	ʔiɛm	ㄧㄝㆬ	ㄧㄢ
1114	𢜩	咸開三平鹽溪B	khjem	kʰiɛm	ㄑㄧㄝㆬ	ㄑㄧㄢ
1115	𪙊	咸開三平鹽疑B	ngjem	(ŋ)iɛm˩	꜁(ㄫ)ㄧㆰ	꜁(ㄫ)ㄧㄢ
1116	尖	咸開三平鹽精	tsjem	tsiɛm	ㄗㄧㆰ	ㄗㄧㄢ
1117	潛	咸開三平鹽從	dzjem	tsʱiɛm˩	꜁ㄘㄧㆰ	꜁ㄘㄧㄢ
1118	箝	咸開三平鹽羣B	gjem	kʱiɛm˩	꜁ㄑㄧㄝㆬ	꜁ㄑㄧㄢ
1119	懕	咸開三平鹽影A	’jiem	ʔiɛm	ㄧㄝㆬ	ㄧㄢ
1120	燅	咸開三平鹽邪	zjem	sʱiɛm˩	꜁ㄙㄧㆰ	꜁ㄙㄧㄢ
1121	襳	咸開三平鹽生	srjem	ʂam	ㄕㆰ	ㄕㄢ
1122	㶣	咸開三平鹽澄	drjem	tʃʱiɛm˩	꜁ㄔㄧㆰ	꜁ㄔㄢ
1123	鍼	咸開三平鹽羣A	gjiem	kʱiɛm˩	꜁ㄑㄧㄝㆬ	꜁ㄑㄧㄢ
1124	添	咸開四平添透	them	tʰiɛm	ㄊㄧㆰ	ㄊㄧㄢ
1125	𩬑	咸開四平添端	tem	tiɛm	ㄉㄧㆰ	ㄉㄧㄢ
1126	甜	咸開四平添定	dem	tʱiɛm˩	꜁ㄊㄧㆰ	꜁ㄊㄧㄢ
1127	鬑	咸開四平添來	lem	liɛm˩	꜁ㄌㄧㆰ	꜁ㄌㄧㄢ
1128	謙	咸開四平添溪	khem	kʰiɛm	ㄑㄧㄝㆬ	ㄑㄧㄢ
1129	兼	咸開四平添見	kem	kiɛm	ㄐㄧㄝㆬ	ㄐㄧㄢ
1130	嫌	咸開四平添匣	hem	ɦiɛm˩	꜁ㄒㄧㄝㆬ	꜁ㄒㄧㄢ
1131	鮎	咸開四平添泥	nem	niɛm˩	꜁ㄋㄧㆰ	꜁ㄋㄧㄢ
1132	馦	咸開四平添曉	xem	hiɛm	ㄒㄧㄝㆬ	ㄒㄧㄢ
1133	咸	咸開二平咸匣	heam	ɦiam˩	꜁ㄒㄚㆬ	꜁ㄒㄢ
1134	緘	咸開二平咸見	keam	kiam	ㄐㄚㆬ	ㄐㄢ
1135	攕	咸開二平咸生	sream	ʂam	ㄕㆰ	ㄕㄢ
1136	𤟟	咸開二平咸影	’eam	ʔiam	ㄧㄚㆬ	ㄧㄢ
1137	嵒	咸開二平咸疑	ngeam	(ŋ)iam˩	꜁(ㄫ)ㄧㄚㆬ	꜁(ㄫ)ㄧㄢ
1138	㰹	咸開二平咸曉	xeam	hiam	ㄒㄚㆬ	ㄒㄢ
1139	詀	咸開二平咸知	tream	ʈʂam	ㄓㆰ	ㄓㄢ
1140	諵	咸開二平咸孃	nream	nam˩	꜁ㄋㆰ	꜁ㄋㄢ
1141	讒	咸開二平咸崇	dzream	ʈʂʱam˩	꜁ㄔㆰ	꜁ㄔㄢ
1142	鵮	咸開二平咸溪	kheam	kʰiam	ㄑㄚㆬ	ㄑㄢ
1143	銜	咸開二平銜匣	haem	ɦiam˩	꜁ㄒㄚㆬ	꜁ㄒㄢ
1144	巉	咸開二平銜崇	dzraem	ʈʂʱam˩	꜁ㄔㆰ	꜁ㄔㄢ
1145	巖	咸開二平銜疑	ngaem	(ŋ)iam˩	꜁(ㄫ)ㄧㄚㆬ	꜁ㄧㄢ
1146	攙	咸開二平銜初	tsrhaem	ʈʂʰam	ㄔㆰ	ㄔㄢ
1147	衫	咸開二平銜生	sraem	ʂam	ㄕㆰ	ㄕㄢ
1148	監	咸開二平銜見	kaem	kiam	ㄐㄚㆬ	ㄐㄢ
1149	𨂝	咸開二平銜並	baem	pʱam˩	꜁ㄆㆰ	꜁ㄆㄢ
1150	嵌	咸開二平銜溪	khaem	kʰiam	ㄑㄚㆬ	ㄑㄢ
1151	嚴	咸開三平嚴疑	ngjaem	jiɛm˩	꜁ㄧㄝㆬ	꜁ㄧㄢ
1152	𩏩	咸開三平嚴曉	xjaem	hiɛm	ㄒㄧㄝㆬ	ㄒㄧㄢ
1153	醃	咸開三平嚴影	’jaem	ʔiɛm	ㄧㄝㆬ	ㄧㄢ
1154	㪁	咸開三平嚴溪	khjaem	kʰiɛm	ㄑㄧㄝㆬ	ㄑㄧㄢ
1155	凡	咸合三平凡並	bjom	fʱam˩	꜁ㄈㆰ	꜁ㄈㄢ
1156	䒦	咸合三平凡滂	phjom	fam	ㄈㆰ	ㄈㄢ
1157	董	通開一上東端	tuwngX	tuŋ˥˧	꜂ㄉㄨㆭ	꜂ㄉㄨㄥ
1158	蠓	通開一上東明	muwngX	muŋ˥˧	꜃ㄇㄨㆭ	꜂ㄇㄨㄥ
1159	孔	通開一上東溪	khuwngX	kʰuŋ˥˧	꜂ㄎㄨㆭ	꜂ㄎㄨㄥ
1160	㪌	通開一上東心	suwngX	suŋ˥˧	꜂ㄙㄨㆭ	꜂ㄙㄨㄥ
