IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
hu	2	○	呼	荒胡切	109	呼	荒胡切
ŋȕ	2	○	吾	訛胡切	110	吾	訛胡切
tshu	2	○	麤	倉胡切	111	麤	倉胡切
ʔu	2	○	烏	汪胡切	112	烏	汪胡切
su	2	○	蘇	孫租切	113	蘇	孫租切
tʂhu	2	○	初	楚徂切	114	初	楚徂切
ʂu	2	○	蔬	山徂切	115	蔬	山徂切
fu	2	○	敷	芳無切	116	敷	芳無切
fvȕ	2	○	扶	逢夫切	117	扶	逢夫切
vȕ	2	○	無	微夫切	118	無	微夫切
kiai	2	六皆¶¶	皆	居諧切	119	皆	居諧切
khiai	2	○	𦂄	丘皆切	120	𦂄	丘皆切
ɦiȁi	2	○	諧	雄皆切	121	諧	雄皆切
kwai	2	○	乖	公懐切	122	乖	公懷切
ɦwȁi	2	○	懷	乎乖切	123	懷	乎乖切
tʂhai	2	○	差	初皆切	124	差	初皆切
tʂai	2	○	齋	莊皆切	125	齋	莊皆切
ʈʂɦȁi	2	○	豺	牀皆切	126	豺	牀皆切
pɦȁi	2	○	排	步皆切	127	排	步皆切
mȁi	2	○	埋	謨皆切	128	埋	謨皆切
ʂai	2	○	簁	所皆切	129	簁	所皆切
(ŋ)jiȁi	2	○	涯	宜皆切	130	涯	宜皆切
hai	2	○	咍	呼來切	131	咍	呼來切
khai	2	○	開	丘哀切	132	開	丘哀切
kai	2	○	該	柯開切	133	該	柯開切
ɦȁi	2	○	孩	何開切	134	孩	何開切
ʔai	2	○	哀	於開切	135	哀	於開切
ŋȁi	2	○	皚	魚開切	136	皚	魚開切
thai	2	○	胎	湯來切	137	胎	湯來切
tɦȁi	2	○	臺	堂來切	138	臺	堂來切
nȁi	2	○	能	囊來切	139	能	囊來切
lȁi	2	○	來	郎才切	140	來	郎才切
sai	2	○	䚡	桑才切	141	䚡	桑才切
tshai	2	○	猜	倉才切	142	猜	倉才切
tsai	2	○	哉	將來切	143	哉	將來切
tsɦȁi	2	○	裁	牆來切	144	裁	牆來切
hui	2	七灰¶¶	灰	呼回切	145	灰	呼回切
khui	2	○	恢	枯回切	146	恢	枯回切
ʔui	2	○	煨	烏魁切	147	煨	烏魁切
kui	2	○	傀	姑回切	148	傀	姑回切
kui	2	○	規	居爲切	149	規	居爲切
ɦȕi	2	○	回	胡瑰切	150	回	胡瑰切
ŋȕi	2	○	危	吾回切	151	危	吾回切
tui	2	○	堆	都回切	152	堆	都回切
thui	2	○	推	通回切	153	推	通回切
tɦȕi	2	○	隤	徒回切	154	隤	徒回切
lȕi	2	○	雷	盧回切	155	雷	盧回切
tshui	2	○	崔	倉回切	156	崔	倉回切
pui	2	○	杯	晡回切	157	杯	晡回切
phui	2	○	丕	鋪杯切	158	丕	鋪杯切
mȕi	2	○	枚	謨杯切	159	枚	謨杯切
tʃɦȕi	2	○	垂	直追切	160	垂	直追切
szȕi	2	○	隨	旬威切	161	隨	旬威切
tʃui	2	○	隹	朱惟切	162	隹	朱惟切
ʒȕi	2	○	甤	如佳切	163	甤	如隹切
sui	2	○	雖	蘇回切	164	雖	蘇回切
ȕi	2	○	爲	于嬀切	165	爲	于嬀切
