IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
tʂhwɑŋ	5	○	瘡	初莊切	462	瘡	初莊切
tʂwɑŋ	5	○	莊	側霜切	463	莊	側霜切
ʈʂɦwɑ̏ŋ	5	○	牀	助莊切	464	牀	助莊切
tʃɦiɑ̏ŋ	5	○	長	仲良切	465	長	仲良切
liɑ̏ŋ	5	○	良	龍張切	466	良	龍張切
hiɑŋ	5	○	香	虚良切	467	香	虛良切
khiɑŋ	5	○	羌	驅羊切	468	羌	驅羊切
kiɑŋ	5	○	薑	居良切	469	薑	居良切
kɦiɑ̏ŋ	5	○	彊	渠良切	470	彊	渠良切
ʔiɑŋ	5	○	央	於良切	471	央	於良切
wɑ̏ŋ	5	○	王	于方切	472	王	于方切
kɦwɑ̏ŋ	5	○	狂	渠王切	473	狂	渠王切
khwɑŋ	5	○	匡	曲王切	474	匡	曲王切
tɦɑ̏ŋ	5	○	唐	徒郎切	475	唐	徒郎切
tɑŋ	5	○	當	都郎切	476	當	都郎切
thɑŋ	5	○	湯	他郎切	477	湯	他郎切
lɑ̏ŋ	5	○	郎	魯堂切	478	郎	魯堂切
lɑ̏ŋ	5	○	鋃	NA	478	鋃	NA
lɑ̏ŋ	5	○	瀧	同上切	478	瀧	NA
nɑ̏ŋ	5	○	囊	奴當切	479	囊	奴當切
phɑŋ	5	○	滂	普郎切	480	滂	普郎切
pɦɑ̏ŋ	5	○	旁	蒲光切	481	旁	蒲光切
mɑ̏ŋ	5	○	茫	謨郎切	482	茫	謨郎切
mɑ̏ŋ	5	○	尨	NA	482	尨	NA
sɑŋ	5	○	桑	蘇郎切	483	桑	蘇郎切
tshɑŋ	5	○	倉	千剛切	484	倉	千剛切
tsɑŋ	5	○	臧	兹郎切	485	臧	兹郎切
tsɦɑ̏ŋ	5	○	藏	徂郎切	486	藏	徂郎切
khɑŋ	5	○	康	丘剛切	487	康	丘剛切
kɑŋ	5	○	岡	居郎切	488	岡	居郎切
ŋɑ̏ŋ	5	○	卬	五剛切	489	卬	五剛切
ɦɑ̏ŋ	5	○	杭	胡剛切	490	杭	胡剛切
ʔwɑŋ	5	○	汪	烏光切	491	汪	烏光切
hwɑŋ	5	○	荒	呼光切	492	荒	呼光切
kwɑŋ	5	○	光	姑黄切	493	光	姑黃切
ɦwɑ̏ŋ	5	○	黄	胡光切	494	黃	胡光切
pɑŋ	5	○	邦	博旁切	495	邦	搏旁切
ɦiɑ̏ŋ	5	○	降	胡江切	496	降	胡江切
hiɑŋ	5	○	舡	許江切	497	舡	許江切
kəŋ	6	¶十八庚¶¶	庚	古衡切	498	庚	古衡切
khəŋ	6	○	阬	丘庚切	499	阬	丘庚切
mə̏ŋ	6	○	盲	眉庚切	500	盲	眉庚切
həŋ	6	○	亨	虚庚切	501	亨	虛庚切
ɦiə̏ŋ	6	○	行	何庚切	502	行	何庚切
ɦwə̏ŋ	6	○	橫	胡盲切	503	橫	胡盲切
kwəŋ	6	○	觥	姑横切	504	觥	姑橫切
phəŋ	6	○	烹	普庚切	505	烹	普庚切
pɦə̏ŋ	6	○	彭	蒲庚切	506	彭	蒲庚切
tʂhəŋ	6	○	崢	抽庚切	507	崢	抽庚切
ʈʂɦə̏ŋ	6	○	棖	除庚切	508	棖	除庚切
piŋ	6	○	兵	補明切	509	兵	補明切
pɦȉŋ	6	○	平	蒲明切	510	平	蒲明切
mȉŋ	6	○	明	眉兵切	511	明	眉兵切
ʂəŋ	6	○	生	師庚切	512	生	師庚切
kiŋ	6	○	京	居卿切	513	京	居卿切
kiŋ	6	○	經	堅丁切	513_no_siewx_ghiunh_separator	經	堅丁切
khiŋ	6	○	卿	丘京切	514	卿	丘京切
kɦȉŋ	6	○	勍	渠京切	515	勍	渠京切
ʔiŋ	6	○	英	於京切	516	英	於京切
jyuə̏ŋ	6	○	榮	于平切	517	榮	于平切
ʈʂɦə̏ŋ	6	○	傖	士耕切	518	傖	士耕切
hyuəŋ	6	○	兄	呼榮切	519	兄	呼榮切
hwəŋ	6	○	鍧	呼宏切	520	鍧	呼宏切
tʂəŋ	6	○	爭	甾耕切	521	爭	甾耕切
nə̏ŋ	6	○	能	奴登切	522	能	奴登切
nȉŋ	6		寧	奴經切	523	寧	奴經切
pəŋ	6	○	絣	𥙷耕切	524	絣	補耕切
phəŋ	6	○	娉	彼耕切	525	娉	彼耕切
tshiŋ	6	○	清	七情切	526	清	七情切
tsiŋ	6	○	精	子盈切	527	精	子盈切
szȉŋ	6	○	餳	徐盈切	528	餳	徐盈切
tsɦȉŋ	6	○	情	慈盈切	529	情	慈盈切
syuəŋ	6	○	觪	思營切	530	觪	思營切
ʃiŋ	6	○	聲	書征切	531	聲	書征切
tʃiŋ	6	○	征	諸成切	532	征	諸成切
tʃɦȉŋ	6	○	成	時征切	533	成	時征切
tʃɦȉŋ	6	○	澄	NA	533	澄	NA
tʃhiŋ	6	○	檉	丑成切	534	檉	丑成切
lȉŋ	6	○	令	離呈切	535	令	離呈切
jȉŋ	6	○	盈	餘輕切	536	盈	餘輕切
ɦȉŋ	6		形	奚經切	537	形	奚經切
khyuəŋ	6	○	傾	窺營切	538	傾	窺營切
kɦyuə̏ŋ	6	○	瓊	渠營切	539	瓊	渠營切
kɦyuə̏ŋ	6	○	嬛	NA	539	嬛	NA
siŋ	6	○	星	先青切	540	星	先青切
tiŋ	6		丁	當經切	541	丁	當經切
thiŋ	6	○	聽	他經切	542	聽	他經切
tɦȉŋ	6	○	庭	唐丁切	543	庭	唐丁切
hiŋ	6		馨	醯經切	544	馨	醯經切
kyuəŋ	6	○	扃	涓熒切	545	扃	涓熒切
ʃʒȉŋ	6	○	繩	神陵切	546	繩	神陵切
ʒȉŋ	6	○	仍	如陵切	547	仍	如陵切
(ŋ)jȉŋ	6	○	凝	魚陵切	548	凝	魚陵切
hiŋ	6		興	虚陵切	549	興	虛陵切
təŋ	6		登	都騰切	550	登	都騰切
tɦə̏ŋ	6	○	騰	徒登切	551	騰	徒登切
lə̏ŋ	6		棱	盧登切	552	棱	盧登切
səŋ	6	○	僧	思登切	553	僧	思登切
tsəŋ	6	○	増	咨登切	554	增	咨登切
tsɦȉŋ	6	○	繒	慈陵切	555	繒	慈稜切
tsɦə̏ŋ	6	○	層	木登切	556	層	徂登切
ɦə̏ŋ	6	○	𢫮	居登切	557	𢫮	胡登切
khwəŋ	6		鞃	丘肱切	558	鞃	丘肱切
ʔwəŋ	6	○	泓	烏宏切	559	泓	烏宏切
jiȍw	6	十九尤¶¶	尤	于求切	560	尤	于求切
tʃhiow	6	○	抽	丑鳩切	561	抽	丑鳩切
tʂhow	6	○	搊	楚蒐切	562	搊	楚蒐切
hiow	6	○	休	虚尤切	563	休	虛尤切
khiow	6	○	丘	驅尤切	564	丘	驅尤切
kiow	6	○	鳩	居尤切	565	鳩	居尤切
kɦiȍw	6	○	求	渠尤切	566	求	渠尤切
ʔiow	6	○	憂	於尤切	567	憂	於尤切
tʃiow	6		周	職流切	568	周	職流切
tʃɦiȍw	6	○	儔	除留切	569	儔	除留切
liȍw	6	○	留	力求切	570	留	力求切
siow	6	○	脩	思留切	571	脩	思留切
tshiow	6	○	秋	此由切	572	秋	此由切
tsiow	6	○	啾	即由切	573	啾	即由切
tsɦiȍw	6	○	酋	慈秋切	574	酋	慈秋切
ʃiow	6	○	收	尸周切	575	收	尸周切
ʒiȍw	6		柔	而由切	576	柔	而由切
ʂow	6	○	搜	疏鳩切	577	搜	疏鳩切
tʂow	6	○	鄒	側鳩切	578	鄒	側鳩切
fvȍw	6	○	浮	房鳩切	579	浮	房鳩切
piow	6	○	彪	補尤切	580	彪	補尤切
pɦiȍw	6		滮	皮休切	581	滮	皮休切
ʈʂɦȍw	6	○	愁	鋤尤切	582	愁	鋤尤切
miȍw	6	○	繆	莫彪切	583	繆	莫彪切
phiow	6	○	秠	四尤切	584	秠	匹尤切
ɦȍw	6	○	侯	胡鉤切	585	侯	胡鉤切
ʔow	6	○	謳	鳥侯切	586	謳	烏侯切
khow	6	○	彄	驅侯切	587	彄	驅侯切
ŋȍw	6	○	腢	魚侯切	588	腢	魚侯切
kow	6	○	鉤	居侯切	589	鉤	居侯切
pɦȍw	6	○	裒	蒲侯切	590	裒	蒲侯切
mȍw	6	○	謀	莫侯切	591	謀	莫侯切
sow	6	○	漱	先侯切	592	漱	先侯切
tsow	6	○	鯫	將侯切	593	鯫	將侯切
tow	6	○	兜	當侯切	594	兜	當侯切
thow	6	○	偸	他侯切	595	偸	他侯切
tɦȍw	6	○	頭	徒侯切	596	頭	徒侯切
lȍw	6	○	樓	盧侯切	597	樓	盧侯切
nȍw	6		䨲	奴侯切	598	䨲	奴侯切
tshim	6	二十侵¶¶	侵	七林切	599	侵	七林切
szȉm	6	○	尋	徐心切	600	尋	徐心切
ʃim	6	○	深	式針切	601	深	式針切
tʃim	6	○	斟	諸深切	602	斟	諸深切
ʃʒȉm	6	○	諶	時壬切	603	諶	時壬切
ʒȉm	6	○	壬	如深切	604	壬	如深切
ʂəm	6	○	森	疏簪切	605	森	疏簪切
tʂəm	6	○	簪	緇深切	606	簪	緇深切
ʈʂɦə̏m	6	○	岑	鋤簪切	607	岑	鋤簪切
tʃhim	6	○	琛	丑森切	608	琛	丑森切
tʃɦȉm	6	○	沈	持林切	609	沈	持森切
lȉm	6	○	林	犁沉切	610	林	犁沈切
jȉm	6	○	淫	夷斟切	611	淫	夷斟切
sim	6	○	心	思林切	612	心	思林切
ʔim	6	○	音	於禽切	613	音	於禽切
(ŋ)jȉm	6	○	吟	魚音切	614	吟	魚音切
him	6	○	歆	虛金切	615	歆	虛金切
khim	6	○	欽	驅音切	616	欽	驅音切
kim	6	○	今	居吟切	617	今	居吟切
kɦȉm	6	○	琴	渠金切	618	琴	渠金切
nȉm	6	○	南	乃林切	619	南	乃林切
tɦȁm	6	二十一覃¶¶	覃	徒含切	620	覃	徒含切
tham	6	○	貪	他含切	621	貪	他含切
tam	6	○	耽	都含切	622	耽	都含切
lȁm	6	○	婪	盧含切	623	婪	盧含切
nȁm	6	○	南	那含切	624	南	那含切
sam	6	○	毿	蘇含切	625	毿	蘇含切
tsham	6	○	參	倉含切	626	參	倉含切
tsam	6	○	簪	祖含切	627	籫	祖含切
tsɦȁm	6	○	𧖟	徂含切	628	蠶	徂含切
kham	6	○	堪	苦含切	629	堪	苦含切
ɦȁm	6	○	含	胡南切	630	含	胡南切
ʔam	6	○	諳	烏含切	631	諳	烏含切
tɦȁm	6	○	談	徒監切	632	談	徒監切
tam	6	○	儋	都監切	633	儋	都監切
lȁm	6	○	藍	盧監切	634	藍	盧監切
sam	6	○	三	蘇監切	635	三	蘇監切
kam	6	○	甘	沽三切	636	甘	沽三切
ɦȁm	6	○	酣	胡甘切	637	酣	胡甘切
ɦiȁm	6	○	咸	胡嵒切	638	咸	胡嵒切
(ŋ)jiȁm	6	○	嵒	魚咸切	639	嵒	魚咸切
ʂam	6	○	攕	所含切	640	攕	所含切
ʈʂɦȁm	6	○	讒	鉏咸切	641	讒	鉏咸切
kiam	6	○	監	古銜切	642	監	古銜切
khiam	6	○	嵌	丘銜切	643	嵌	丘銜切
ʂam	6		衫	師銜切	644	衫	師銜切
tʂham	6	○	欃	初銜切	645	欃	初銜切
fvȁm	6	○	凡	符咸切	646	凡	符咸切
jiɛ̏m	6	二十二鹽¶¶	鹽	移廉切	647	鹽	移廉切
siɛm	6	○	銛	思廉切	648	銛	思廉切
tshiɛm	6	○	僉	千廉切	649	僉	千廉切
tsiɛm	6	○	尖	將廉切	650	尖	將廉切
sziɛ̏m	6	○	爓	徐廉切	651	爓	徐廉切
tsɦiɛ̏m	6	○	濳	照鹽切	652	濳	慈鹽切
ʃiɛm	6	○	苫	詩廉切	653	苫	詩廉切
tʃhiɛm	6	○	襜	蚩占切	654	襜	蚩占切
tʃiɛm	6	○	詹	之廉切	655	詹	之廉切
ʃʒiɛ̏m	6	○	蟾	時占切	656	蟾	時占切
ʒiɛ̏m	6	○	髥	而占切	657	髥	而占切
liɛ̏m	6	○	廉	力鹽切	658	廉	力鹽切
ʔiɛm	6	○	淹	衣炎切	659	淹	衣炎切
(ŋ)jiɛ̏m	6	○	噞	牛廉切	660	噞	牛廉切
niɛ̏m	6	○	黏	尼占切	661	黏	尼占切
kɦiɛ̏m	6	○	箝	其廉切	662	箝	其廉切
piɛm	6	○	砭	悲廉切	663	砭	悲廉切
thiɛm	6	○	添	他兼切	664	添	他兼切
tɦiɛ̏m	6	○	甜	徒兼切	665	甜	徒兼切
khiɛm	6	○	謙	苦兼切	666	謙	苦兼切
kiɛm	6	○	兼	古嫌切	667	兼	古嫌切
ɦiɛ̏m	6	○	嫌	胡兼切	668	嫌	胡兼切
hiɛm	6	○	杴	虚嚴切	669	杴	虛嚴切
tûŋ	7	上聲¶¶一董¶¶	董	多動切	670	董	多動切
thûŋ	7	○	統	他總切	671	統	他總切
dǔŋ'	7	○	動	徒摠切	672	動	徒總切
lûŋ	7	○	曨	力董切	673	曨	力董切
pûŋ	7	○	琫	邊孔切	674	琫	邊孔切
mûŋ	7	○	蠓	母摠切	675	蠓	母總切
tsûŋ	7	○	總	作孔切	676	總	作孔切
ɦǔŋ'	7	○	澒	胡孔切	677	澒	胡孔切
khûŋ	7	○	孔	康董切	678	孔	康董切
khyûŋ	7	○	恐	丘隴切	679	恐	丘隴切
ʔûŋ	7	○	蓊	烏孔切	680	蓊	烏孔切
fûŋ	7	○	捧	方孔切	681	捧	方孔切
tʃyûŋ	7	○	腫	知隴切	682	腫	知隴切
tʃyûŋ	7	○	踵	NA	682	踵	NA
dʒyǔŋ'	7	○	重	直隴切	683	重	直隴切
ʒyûŋ	7	○	宂	而隴切	684	宂	而隴切
syûŋ	7	○	竦	息勇切	685	竦	息勇切
tʃhyûŋ	7	○	寵	丑勇切	686	寵	丑勇切
jyûŋ	7	○	勇	尹竦切	687	勇	尹竦切
hyûŋ	7	○	兇	許拱切	688	兇	許拱切
kyûŋ	7	○	拱	居竦切	689	拱	居竦切
nûŋ	7		癑	乃湩切	690	癑	乃湩切
tsyûŋ	7	○	慫	即勇切	691	慫	即勇切
tʃiɨ̂	7	二紙¶¶	紙	諸氏切	692	紙	諸氏切
tʃiɨ̂	7	○	咫	NA	692	咫	NA
dʒǐ'	7	○	豸	丈几切	693	豸	丈几切
tʃhiɨ̂	7	○	齒	昌止切	694	齒	昌止切
tʃhî	7	○	侈	尺里切	695	侈	尺里切
tshɨ̂	7	○	此	雌氏切	696	此	雌氏切
tsɨ̂	7	○	子	祖似切	697	子	祖似切
ʃiɨ̂	7	○	始	詩止切	698	始	詩止切
ʂiɨ̂	7	○	史	師止切	699	史	師止切
ʂʐiɨ̌'	7	○	市	上𥿄切	700	市	士紙切
ʃʒiɨ̌'	7	○	視	善指切	701	視	善指切
jî	7	○	以	養里切	702	以	養里切
ʔî	7	○	倚	隱綺切	703	倚	隱綺切
ɻ̂	7	○	耳	忍止切	704	耳	忍止切
pî	7	○	彼	𥙷委切	705	彼	補委切
pî	7	○	卑	NA	705	卑	NA
phî	7	○	庀	普弭切	706	庀	普弭切
bǐ'	7	○	陛	部比切	707	陛	部比切
bǐ'	7	○	被	部靡切	708	被	部靡切
gǐ'	7	○	技	巨綺切	709	技	巨綺切
szɨ̌'	7	○	似	詳子切	710	似	詳子切
sɨ̂	7	○	死	想姊切	711	死	想姊切
hî	7	○	喜	許里切	712	喜	許里切
ʃyûi	7	○	水	式軌切	713	水	式軌切
fî	7	○	斐	敷尾切	714	斐	敷尾切
vî	7	○	尾	無匪切	715	尾	無匪切
dziɪ̌i'	7	三薺¶¶	薺	在禮切	716	薺	在禮切
tsiɪ̂i	7	○	濟	子禮切	717	濟	子禮切
sî	7	○	徙	想里切	718	徙	想里切
tiɪ̂i	7	○	邸	典禮切	719	邸	典禮切
diɪ̌i'	7	○	弟	待禮切	720	弟	待禮切
tshiɪ̂i	7	○	泚	此禮切	721	泚	此禮切
lî	7	○	里	良以切	722	里	良以切
thiɪ̂i	7	○	體	他禮切	723	體	他禮切
nî	7	○	伱	乃里切	724	伱	乃里切
ɦiɪ̌i'	7	○	徯	戸禮切	725	徯	戶禮切
kî	7	○	己	居里切	726	己	居里切
khî	7	○	起	墟里切	727	起	墟里切
khiɪ̂i	7	○	啓	祛禮切	728	啟	祛禮切
miɪ̂i	7	○	米	莫禮切	729	米	莫禮切
(ŋ)jŷ	7	四語¶¶	語	偶許切	730	語	偶許切
jŷ	7		與	弋渚切	731	與	於語切
ʔŷ	7	○	傴	於語切	ytenx_digitalization_error_731_732	傴	於語切
hŷ	7	○	許	虚呂切	732	許	虛呂切
kŷ	7	○	舉	居許切	733	舉	居許切
khŷ	7	○	去	丘舉切	734	去	丘舉切
gy̌'	7	○	巨	臼許切	735	巨	臼許切
tsŷ	7	○	沮	再吕切	736	沮	再呂切
ʃʒy̌'	7		墅	承與切	737	墅	承與切
ʃŷ	7	○	暑	賞吕切	738	暑	賞呂切
ʃʒy̌'	7	○	豎	仁庾切	739	豎	上庾切
tʃŷ	7	○	主	腫庾切	740	主	腫庾切
tʃhŷ	7	○	杵	敞呂切	741	杵	敞呂切
dʒy̌'	7	○	柱	直呂切	742	柱	直呂切
lŷ	7	○	呂	兩與切	743	呂	兩舉切
ʒŷ	7	○	汝	忍與切	744	汝	忍與切
tshŷ	7	○	取	此主切	745	取	此主切
dzy̌'	7	○	聚	慈庾切	746	聚	慈庾切
nŷ	7	○	女	尼呂切	747	女	尼呂切
szy̌'	7	○	敘	象呂切	748	敘	象呂切
sŷ	7	○	胥	私呂切	749	胥	私呂切
mû	8	¶五姥¶¶	姥	莫補切	750	姥	莫補切
phû	8	○	普	滂五切	751	普	滂五切
pû	8	○	補	博古切	752	補	博古切
bǔ'	8		簿	裴古切	753	簿	裴古切
tsû	8	○	祖	摠五切	754	祖	總五切
tshû	8	○	粗	坐五切	755	粗	坐五切
tû	8	○	覩	董五切	756	覩	董五切
thû	8	○	土	他魯切	757	土	他魯切
dǔ'	8	○	杜	徒古切	758	杜	徒古切
lû	8	○	魯	郎古切	759	魯	郎古切
nû	8	○	弩	奴古切	760	弩	奴古切
hû	8	○	虎	火五切	761	虎	火五切
khû	8	○	苦	孔五切	762	苦	孔五切
kû	8	○	古	公土切	763	古	公土切
ɦǔ'	8	○	戸	侯古切	764	戸	侯古切
ʔû	8	○	塢	安古切	765	塢	安古切
ŋû	8	○	五	阮古切	766	五	阮古切
ʂû	8	○	所	疎五切	767	所	踈五切
tʂû	8	○	阻	壯所切	768	阻	壯所切
tʂhû	8	○	楚	創祖切	769	楚	創阻切
fû	8	○	撫	斐古切	770	撫	斐古切
fvǔ'	8	○	輔	扶古切	771	輔	扶古切
vû	8	○	武	罔古切	772	武	罔古切
ʂû	8	○	數	所武切	773	數	所武切
kiâi	8	六解¶¶	解	佳買切	774	解	佳買切
ɦiǎi'	8	○	蟹	胡買切	775	蟹	胡買切
pâi	8	○	罷	補買切	776	罷	補買切
ʂâi	8	○	灑	所蟹切	777	灑	所蟹切
ɖʐǎi'	8	○	廌	鉏買切	778	廌	鉏買切
tʂhâi	8	○	跐	初買切	779	跐	初買切
mâi	8	○	買	莫蟹切	780	買	莫蟹切
ɦwǎi'	8	○	夥	胡買切	781	夥	胡買切
kwâi	8	○	柺	古買切	782	柺	古買切
ɦiǎi'	8	○	駭	下楷切	783	駭	下楷切
khiâi	8	○	鍇	口駭切	784	鍇	口駭切
(ŋ)jiâi	8	○	騃	語駭切	785	騃	語駭切
ʔâi	8	○	矮	鴉蟹切	786	矮	鴉蟹切
hâi	8	○	海	呼改切	787	海	呼改切
khâi	8	○	愷	可亥切	788	愷	可亥切
kâi	8	○	改	居亥切	789	改	居亥切
ɦǎi'	8	○	亥	胡改切	790	亥	胡改切
ʔâi	8	○	靉	依亥切	791	靉	依亥切
tshâi	8	○	采	此宰切	792	采	此宰切
tsâi	8	○	宰	子亥切	793	宰	子亥切
dzǎi'	8	○	在	盡亥切	794	在	盡亥切
tshâi	8	○	茝	昌亥切	795	茝	昌亥切
dǎi'	8	○	待	蕩亥切	796	待	蕩亥切
nâi	8	○	乃	曩亥切	797	乃	囊亥切
ɦǔi'	8	七賄¶¶	賄	乎罪切	798	賄	乎罪切
ʔûi	8	○	猥	烏賄切	799	猥	烏賄切
ŋûi	8	○	隗	五罪切	800	隗	五罪切
bǔi'	8	○	琲	部浼切	801	琲	部浼切
mûi	8	○	美	莫賄切	802	美	莫賄切
tshûi	8	○	漼	取猥切	803	漼	取猥切
dzǔi'	8	○	辠	徂賄切	804	辠	徂賄切
dǔi'	8	○	鐓	杜罪切	805	鐓	杜罪切
lûi	8	○	壘	魯猥切	806	壘	魯猥切
khûi	8	○	魁	苦猥切	807	魁	苦猥切
nûi	8	○	餧	努罪切	808	餧	弩罪切
tʂhûi	8	○	揣	楚委切	809	揣	楚委切
tʃûi	8	○	捶	主蘂切	810	捶	主蘂切
ʒûi	8	○	繠	如累切	811	繠	如累切
sûi	8	○	髓	息委切	812	髓	息委切
bǔi'	8	○	岯	部癸切	813	岯	部癸切
tsûi	8	○	觜	即委切	814	觜	即委切
tshûi	8	○	趡	千水切	815	趡	千水切
khûi	8	○	跬	犬蘂切	816	跬	犬蘂切
ʃûi	8	○	水	式軌切	817	水	式軌切
hûi	8	○	毁	虎委切	818	毀	虎委切
hûi	8		虫	許偉切	818_no_siewx_ghiunh_separator	虫	NA
kûi	8	○	詭	古委切	819	詭	古委切
gûi	8	○	跪	渠委切	819_no_siewx_ghiunh_separator	跪	渠委切
tʃîn	8	八軫¶¶	軫	止忍切	820	軫	止忍切
ʃʒǐn'	8	○	蜃	時軫切	821	蜃	時軫切
ʒîn	8	○	忍	爾軫切	822	忍	爾軫切
ʃîn	8	○	哂	矢忍切	823	哂	矢忍切
bǐn'	8	○	牝	婢忍切	824	牝	婢忍切
dzǐn'	8	○	盡	慈忍切	825	盡	慈忍切
jîn	8	○	引	以忍切	826	引	以忍切
lîn	8	○	嶙	良忍切	827	嶙	良忍切
tsîn	8	○	盡	即忍切	828	盡	即忍切
tʃhîn	8	○	辴	丑忍切	829	囅	丑忍切
dʒǐn'	8	○	紖	直忍切	830	紖	直忍切
mîn	8	○	泯	弭盡切	831	泯	弭盡切
kîn	8	○	緊	居忍切	832	緊	居忍切
gyǔn'	8	○	窘	巨隕切	833	窘	巨隕切
khyûn	8		稛	苦隕切	834	稛	苦隕切
tʃyûn	8	○	準	之允切	835	準	之允切
tʃhyûn	8	○	蠢	尺允切	836	蠢	尺允切
ʒyûn	8	○	盾	乳允切	837	盾	乳允切
syûn	8	○	筍	聳允切	838	筍	聳允切
jyûn	8	○	隕	羽敏切	839	隕	羽敏切
vûn	8	○	吻	武粉切	840	吻	武粉切
fvǔn'	8	○	憤	房吻切	841	憤	房吻切
fvǔn'	8	○	扮	NA	841	扮	NA
fûn	8	○	粉	府吻切	842	粉	府吻切
ʔyûn	8		蘊	委粉切	843	蘊	委粉切
kyûn	8	○	攟	舉藴切	844	攟	舉蘊切
ʔîn	8	○	隱	於謹切	845	隱	於謹切
hîn	8	○	䘆	許謹切	846	䘆	許謹切
tʂhə̂n	8	○	齔	初謹切	847	齔	初謹切
gǐn'	8	○	近	巨謹切	848	近	巨謹切
(ŋ)jîn	8	○	听	語謹切	849	听	語謹切
ɦǔn'	8	○	混	湖本切	850	混	胡本切
khûn	8	○	梱	苦本切	851	梱	苦本切
kûn	8	○	袞	古本切	852	袞	古本切
ʔûn	8	○	穩	烏本切	853	穩	烏本切
pûn	8	○	本	布袞切	854	本	布袞切
bûn	8	○	𣄏	部本切	854_no_siewx_ghiunh_separator	𣄏	部本切
mûn	8	○	懣	母本切	855	懣	母本切
sûn	8	○	損	蘇本切	856	損	蘇本切
tshûn	8	○	忖	趨本切	857	忖	趨本切
tsûn	8	○	撙	祖本切	858	撙	祖本切
dzǔn'	8	○	鱒	徂本切	859	鱒	徂本切
dǔn'	8	○	盾	徒本切	860	盾	徒本切
ɦə̌n'	8	○	很	下懇切	861	很	下懇切
khə̂n	8	○	懇	口很切	862	懇	口很切
ŋə̂n	8	○	眼	魚懇切	863	眼	魚墾切
pîn	8	○	稟	必敏切	864	稟	必敏切
phîn	8	○	品	丕敏切	865	品	丕敏切
ɦɔ̌n'	8	九旱¶¶	旱	侯罕切	866	旱	侯罕切
hɔ̂n	8	○	罕	許旱切	867	罕	許旱切
khɔ̂n	8	○	侃	空旱切	868	侃	空旱切
kɔ̂n	8	○	稈	古旱切	869	稈	古旱切
ɦwɔ̌n'	8		緩	胡管切	870	緩	胡管切
ʔwɔ̂n	8	○	盌	烏管切	871	盌	烏管切
khwɔ̂n	8	○	款	苦管切	872	款	苦管切
kwɔ̂n	8	○	管	古緩切	873	管	古緩切
mwɔ̂n	8	○	滿	莫旱切	874	滿	莫旱切
bwɔ̌n'	8	○	伴	蒲滿切	875	伴	蒲滿切
swɔ̂n	8	○	算	損管切	876	算	損管切
tswɔ̂n	8	○	纂	作管切	877	纂	作管切
twɔ̂n	8	○	短	都管切	878	短	都管切
thwɔ̂n	8	○	疃	土緩切	879	疃	土緩切
dwɔ̌n'	8	○	斷	徒管切	880	斷	徒管切
lwɔ̂n	8	○	卵	魯管切	881	卵	魯管切
nwɔ̂n	8	○	煖	乃管切	882	煖	乃管切
tʂhân	8	十產¶¶	產	楚簡切	883	產	楚簡切
ʂwân	8	○	潸	數版切	884	潸	數版切
ɖʐǎn'	8	○	撰	雛產切	885	撰	雛產切
ɖʐǎn'	8	○	籑	NA	885	籑	NA
nân	8	○	赧	乃版切	886	赧	乃版切
ɦiǎn'	8	○	限	下簡切	887	限	下簡切
ʔiân	8	○	綰	烏版切	888	綰	烏版切
pân	8	○	版	補綰切	889	版	補綰切
fân	8	○	返	甫版切	890	返	甫版切
vân	8	○	晚	武綰切	891	晚	武綰切
tsân	8	○	醆	阻限切	892	醆	祖產切
dzǎn'	8	○	棧	徂限切	893	棧	徂限切
kiân	8	○	簡	古限切	894	簡	古限切
(ŋ)jiân	8	○	眼	五限切	895	眼	五限切
dzǎn'	8	○	瓚	在簡切	896	瓚	在簡切
tsân	8		儧	積產切	897	儹	積產切
tân	8		亶	多簡切	898	亶	多簡切
thân	8	○	坦	他但切	ytenx_digitalization_error_898_899	坦	他但切
dǎn'	8	○	但	徒亶切	899	但	徒亶切
lân	8	○	嬾	魯簡切	900	嬾	魯簡切
sân	8	○	散	薛簡切	901	散	蘇簡切
ʂân	8	○	汕	所簡切	902	汕	所簡切
mân	8	○	矕	母板切	903	矕	母板切
phân	8		眅	普板切	904	眅	普板切
siɛ̂n	8	十一銑¶¶	銑	蘇典切	905	銑	蘇典切
piɛ̂n	8	○	扁	𥙷典切	906	扁	補典切
biɛ̌n'	8	○	辮	婢免切	907	辮	婢免切
miɛ̂n	8	○	免	美辯切	908	免	美辨切
tiɛ̂n	8	○	典	多殄切	909	典	多殄切
thiɛ̂n	8	○	腆	他典切	910	腆	他典切
diɛ̌n'	8	○	殄	徒典切	911	殄	徒典切
niɛ̂n	8	○	撚	乃殄切	912	撚	乃殄切
hiɛ̂n	8	○	顯	呼典切	913	顯	呼典切
kiɛ̂n	8	○	繭	吉典切	914	繭	吉典切
ɦiɛ̌n'	8	○	峴	胡典切	915	峴	胡典切
khyuɛ̂n	8	○	犬	苦泫切	916	犬	苦泫切
kyuɛ̂n	8	○	畎	古泫切	917	畎	古泫切
ɦyuɛ̌n'	8	○	泫	胡犬切	918	泫	胡犬切
tshiɛ̂n	8	○	淺	七演切	919	淺	七演切
tsiɛ̂n	8	○	翦	子踐切	920	翦	子演切
dziɛ̌n'	8	○	踐	慈演切	921	踐	慈演切
