Index	小韻	canonicalForm	反切	葉碼
3457	刷	山合二入刪生	數刮	5_25
3458	刖	山合二入刪疑	五刮	5_25
3459	䵵	山合二入刪初	初刮	5_25
3460	𥗥	山開二入刪明	莫鎋	5_25
3461	妠	山合二入刪孃	女刮	5_25
3462	捌	山開二入刪幫	百鎋	5_25
3463	𪈟	山開二入刪見	古鎋	5_25
3464	𨰉	山開二入刪崇	查鎋	5_25
3465	哳	山開二入刪知	陟鎋	5_25
3466	𩭿	山開二入刪日	而轄	5_25
3467	屑	山開四入先心	先結	5_25
3468	切	山開四入先清	千結	5_25
3469	結	山開四入先見	古屑	5_25
3470	節	山開四入先精	子結	5_26
3471	血	山合四入先曉	呼決	5_26
3472	闋	山合四入先溪	苦穴	5_26
3473	玦	山合四入先見	古穴	5_26
3474	穴	山合四入先匣	胡決	5_26
3475	抉	山合四入先影	於決	5_26
3476	姪	山開四入先定	徒結	5_26
3477	鐵	山開四入先透	他結	5_27/5_26
3478	纈	山開四入先匣	胡結	5_27
3479	涅	山開四入先泥	奴結	5_27
3480	𢧵	山開四入先從	昨結	5_27
3481	齧	山開四入先疑	五結	5_27
3482	蔑	山開四入先明	莫結	5_27
3483	㢼	山開四入先幫	方結	5_27
3484	噎	山開四入先影	烏結	5_27
3485	猰	山開四入先溪	苦結	5_27
3486	𡘐	山開四入先曉	虎結	5_27
3487	撆	山開四入先滂	普蔑	5_27
3488	蹩	山開四入先並	蒲結	5_27/5_28
3489	窒	山開四入先端	丁結	5_28
3490	𥸸	山開四入先來	練結	5_28
3491	薛	山開三入仙心	私列	5_28
3492	列	山開三入仙來	良辥	5_28
3493	哲	山開三入仙知	陟列	5_28
3494	傑	山開三入仙羣B	渠列	5_28
3495	熱	山開三入仙日	如列	5_28
3496	晢	山開三入仙章	旨熱	5_28
3497	舌	山開三入仙船	食列	5_28
3498	折	山開三入仙常	常列	5_28
3499	孼	山開三入仙疑B	魚列	5_29/5_28
3500	滅	山開三入仙明A	亡列	5_29
3501	朅	山開三入仙溪B	丘竭	5_29
3502	鷩	山開三入仙幫A	并列	5_29
3503	絕	山合三入仙從	情雪	5_29
3504	蕝	山合三入仙精	子悅	5_29
3505	雪	山合三入仙心	相絕	5_29
3506	𤿫	山合三入仙徹	丑悅	5_29
3507	悅	山合三入仙以	弋雪	5_29
3508	缺	山合三入仙溪A	傾雪	5_29
3509	噦	山合三入仙影B	乙劣	5_29
3510	爇	山合三入仙日	如劣	5_29
3511	說	山合三入仙書	失爇	5_29
3512	拙	山合三入仙章	職悅	5_29
3513	歠	山合三入仙昌	昌悅	5_29
3514	輟	山合三入仙知	陟劣	5_29
3515	劣	山合三入仙來	力輟	5_29
3516	瞥	山開三入仙滂A	芳滅	5_29
3517	别	山開三入仙並B	皮列	5_29
3518	轍	山開三入仙澄	直列	5_29
3519	䇷	山開三入仙幫B	方别	5_30/5_29
3520	㕞	山合三入仙生	所劣	5_30
3521	孑	山開三入仙見B	居列	5_30
3522	設	山開三入仙書	識列	5_30
3523	呐	山合三入仙孃	女劣	5_30
3524	𥄎	山合三入仙曉B	許劣	5_30
3525	妜	山合三入仙影A	於悅	5_30
3526	蹶	山合三入仙見B	紀劣	5_30
3527	茁	山合三入仙莊	側劣	5_30
3528	膬	山合三入仙清	七絕	5_30
3529	蠽	山合三入仙精	姉列	5_30
3530	榝	山開三入仙生	山列	5_30
3531	焆	山開三入仙影B	於列	5_30
3532	屮	山開三入仙徹	丑列	5_30
3533	娎	山開三入仙曉B	許列	5_30
3534	啜	山合三入仙昌	姝雪	5_30
3535	㔍	山開三入仙初	廁列	5_30
3536	㿱	山合三入仙邪	寺絕	5_30
3537	掣	山開三入仙昌	昌列	5_30
3538	抴	山開三入仙以	羊列	5_30
3539	𨵊	山開三入仙崇	士列	5_30
3540	藥	宕開三入陽以	以灼	5_30
3541	略	宕開三入陽來	離灼	5_30
3542	腳	宕開三入陽見	居勺	5_30
3543	灼	宕開三入陽章	之若	5_30/5_31
3544	爍	宕開三入陽書	書藥	5_31
3545	若	宕開三入陽日	而灼	5_31
3546	綽	宕開三入陽昌	昌約	5_31
3547	約	宕開三入陽影	於略	5_31
3548	卻	宕開三入陽溪	去約	5_31
3549	虐	宕開三入陽疑	魚約	5_31
3550	妁	宕開三入陽常	市若	5_31
3551	㲋	宕開三入陽徹	丑略	5_31
3552	削	宕開三入陽心	息約	5_31
3553	斮	宕開三入陽莊	側略	5_31
3554	爵	宕開三入陽精	即略	5_31
3555	皭	宕開三入陽從	在爵	5_31
3556	鵲	宕開三入陽清	七雀	5_31
3557	噱	宕開三入陽羣	其虐	5_31
3558	嬳	宕合三入陽影	憂縛	5_31
3559	縛	宕合三入陽並	符钁	5_31
3560	䂄	宕合三入陽曉	許縛	5_31
3561	籰	宕合三入陽云	王縛	5_31
3562	玃	宕合三入陽見	居縛	5_32/5_31
3563	芍	宕開三入陽知	張略	5_32
3564	著	宕開三入陽澄	直略	5_32
3565	躩	宕合三入陽溪	丘縛	5_32
3566	戄	宕合三入陽羣	具籰	5_32
3567	逽	宕開三入陽孃	女略	5_32
3568	𩅿	宕合三入陽滂	孚縛	5_32
3569	謔	宕開三入陽曉	虚約	5_32
3570	鐸	宕開一入唐定	徒落	5_32
3571	莫	宕開一入唐明	慕各	5_32
3572	落	宕開一入唐來	盧各	5_32
3573	託	宕開一入唐透	他各	5_32/5_33
3574	作	宕開一入唐精	則落	5_33
3575	錯	宕開一入唐清	倉各	5_33
3576	各	宕開一入唐見	古落	5_33
3577	恪	宕開一入唐溪	苦各	5_33
3578	咢	宕開一入唐疑	五各	5_33
3579	𩔈	宕合一入唐滂	匹各	5_33
3580	惡	宕開一入唐影	烏各	5_33
3581	泊	宕合一入唐並	傍各	5_33
3582	𦞦	宕開一入唐曉	呵各	5_33
3583	索	宕開一入唐心	蘇各	5_33
3584	涸	宕開一入唐匣	下各	5_33/5_34
3585	昨	宕開一入唐從	在各	5_34
3586	博	宕合一入唐幫	補各	5_34
3587	諾	宕開一入唐泥	奴各	5_34
3588	霍	宕合一入唐曉	虚郭	5_34
3589	郭	宕合一入唐見	古博	5_34
3590	雘	宕合一入唐影	烏郭	5_34
3591	穫	宕合一入唐匣	胡郭	5_34
3592	廓	宕合一入唐溪	苦郭	5_34
3593	瓁	宕合一入唐疑	五郭	5_34
3594	硦	宕合一入唐來	盧穫	5_34
3595	㘀	宕合一入唐精	祖郭	5_34
3596	陌	梗開二入庚明	莫白	5_34/5_35
3597	磔	梗開二入庚知	陟格	5_35
3598	白	梗開二入庚並	傍陌	5_35
3599	伯	梗開二入庚幫	博陌	5_35
3600	劇	梗開三入庚羣	奇逆	5_35
3601	戟	梗開三入庚見	几劇	5_35
3602	𡩡	梗開三入庚生	山戟	5_35
3603	柵	梗開三入庚初	測戟	5_35
3604	嚄	梗合二入庚匣	胡伯	5_35
3605	嘖	梗開二入庚莊	側伯	5_35
3606	齚	梗開二入庚崇	鋤陌	5_35
3607	隙	梗開三入庚溪	綺戟	5_35
3608	額	梗開二入庚疑	五陌	5_35
3609	逆	梗開三入庚疑	宜戟	5_35
3610	客	梗開二入庚溪	苦格	5_35
3611	啞	梗開二入庚影	烏格	5_35
3612	虩	梗開三入庚曉	許郤	5_35
3613	𡍩	梗開二入庚徹	丑格	5_35
3614	䪝	梗合二入庚影	乙白	5_35
3615	拍	梗開二入庚滂	普伯	5_35
3616	赫	梗開二入庚曉	呼格	5_36/5_35
3617	垎	梗開二入庚匣	胡格	5_36
3618	格	梗開二入庚見	古伯	5_36
3619	謋	梗合二入庚曉	虎伯	5_36
3620	宅	梗開二入庚澄	場伯	5_36
3621	虢	梗合二入庚見	古伯	5_36
3622	擭	梗合三入庚影	一虢	5_36
3623	蹃	梗合二入庚孃	女白	5_36
3624	𧍕	梗合二入庚溪	丘擭	5_36
3625	欂	梗開三入庚並	弼戟	5_36
3626	麥	梗開二入耕明	莫獲	5_36
3627	獲	梗合二入耕匣	胡麥	5_36
3628	蟈	梗合二入耕見	古獲	5_36
3629	檗	梗開二入耕幫	博厄	5_36
3630	䌟	梗開二入耕並	蒲革	5_37
3631	賾	梗開二入耕崇	士革	5_37
3632	責	梗開二入耕莊	側革	5_37
3633	䞰	梗合二入耕崇	査獲	5_37
3634	策	梗開二入耕初	楚革	5_37
3635	礊	梗開二入耕溪	楷革	5_37
3636	剨	梗合二入耕曉	呼麥	5_37
3637	覈	梗開二入耕匣	下革	5_37
3638	隔	梗開二入耕見	古核	5_37
3639	摘	梗開二入耕知	陟革	5_37
3640	戹	梗開二入耕影	於革	5_37
3641	栜	梗開二入耕生	山責	5_37
3642	𢶉	梗開二入耕滂	普麥	5_38/5_37
3643	虉	梗開二入耕疑	五革	5_38
3644	礐	梗開二入耕來	力摘	5_38
3645	㩇	梗合二入耕莊	簪摑	5_38
3646	𢷾	梗合二入耕生	砂獲	5_38
3647	𧾛	梗合二入耕羣	求獲	5_38
3648	疒	梗開二入耕孃	尼戹	5_38
3649	昔	梗開三入清心	思積	5_38
3650	積	梗開三入清精	資昔	5_38
3651	益	梗開三入清影	伊昔	5_38
3652	繹	梗開三入清以	羊益	5_38
3653	釋	梗開三入清書	施隻	5_38/5_39
3654	尺	梗開三入清昌	昌石	5_39
3655	石	梗開三入清常	常隻	5_39
3656	隻	梗開三入清章	之石	5_39
3657	擲	梗開三入清澄	直炙	5_39
3658	皵	梗開三入清清	七迹	5_39
3659	席	梗開三入清邪	祥易	5_39
3660	籍	梗開三入清從	秦昔	5_39
3661	擗	梗開三入清並	房益	5_39
3662	役	梗合三入清以	營隻	5_39
3663	瞁	梗合三入清曉	許役	5_39
3664	辟	梗開三入清幫	必益	5_39
3665	僻	梗開三入清滂	芳辟	5_39
3666	麝	梗開三入清船	食亦	5_39
3667	碧	梗合三入清幫	彼役	5_40
3668	𪐏	梗開三入清知	竹益	5_40
3669	彳	梗開三入清徹	丑亦	5_40
3670	𦳮	梗合三入清章	之役	5_40
3671	𥄎	梗合三入清清	七役	5_40
3672	錫	梗開四入青心	先擊	5_40
3673	激	梗開四入青見	古歷	5_40
3674	霹	梗開四入青滂	普擊	5_40
3675	靂	梗開四入青來	郎擊	5_40
3676	的	梗開四入青端	都歷	5_40
3677	檄	梗開四入青匣	胡狄	5_40
3678	鷁	梗開四入青疑	五歷	5_41/5_40
3679	荻	梗開四入青定	徒歷	5_41
3680	逖	梗開四入青透	他歷	5_41
3681	績	梗開四入青精	則歷	5_41
3682	燩	梗開四入青溪	苦擊	5_41
3683	惄	梗開四入青泥	奴歷	5_41
3684	寂	梗開四入青從	前歷	5_41
3685	覓	梗開四入青明	莫狄	5_41
3686	甓	梗開四入青並	扶歷	5_41
3687	壁	梗開四入青幫	北激	5_41
3688	闃	梗合四入青溪	苦鶪	5_41
3689	郹	梗合四入青見	古闃	5_41
3690	戚	梗開四入青清	倉歷	5_42/5_41
3691	赥	梗開四入青曉	許激	5_42
3692	𥍟	梗合四入青曉	呼狊	5_42
3693	𣤩	梗開四入青徹	丑歷	5_42
3694	職	曾開三入蒸章	之翼	5_42
3695	直	曾開三入蒸澄	除力	5_42
3696	力	曾開三入蒸來	林直	5_42
3697	敕	曾開三入蒸徹	恥力	5_42
3698	陟	曾開三入蒸知	竹力	5_42
3699	食	曾開三入蒸船	乗力	5_42
3700	息	曾開三入蒸心	相即	5_42
3701	寔	曾開三入蒸常	常職	5_42
3702	識	曾開三入蒸書	賞職	5_42
3703	赩	曾開三入蒸曉	許極	5_42
3704	崱	曾開三入蒸崇	士力	5_42
3705	極	曾開三入蒸羣	渠力	5_43
3706	匿	曾開三入蒸孃	女力	5_43
3707	測	曾開三入蒸初	初力	5_43
3708	憶	曾開三入蒸影	於力	5_43
3709	色	曾開三入蒸生	所力	5_43
3710	䩯	曾開三入蒸溪	丘力	5_43
3711	殛	曾開三入蒸見	紀力	5_43
3712	弋	曾開三入蒸以	與職	5_43
3713	即	曾開三入蒸精	子力	5_43
3714	逼	曾開三入蒸幫	彼側	5_43
3715	域	曾合三入蒸云	雨逼	5_44
3716	洫	曾合三入蒸曉	況逼	5_44
3717	堛	曾開三入蒸滂	芳逼	5_44
3718	稄	曾開三入蒸莊	阻力	5_44
3719	愎	曾開三入蒸並	符逼	5_44
3720	嶷	曾開三入蒸疑	魚力	5_44
3721	堲	曾開三入蒸從	秦力	5_44
3722	𡮞	曾開三入蒸知	丁力	5_44
3723	䁇	曾開三入蒸明	亡逼	5_44
3724	瀷	曾開三入蒸昌	昌力	5_44
3725	德	曾開一入登端	多則	5_44
3726	則	曾開一入登精	子德	5_44
3727	勒	曾開一入登來	盧則	5_44
3728	忒	曾開一入登透	他德	5_44
3729	刻	曾開一入登溪	苦得	5_44
3730	特	曾開一入登定	徒得	5_44
3731	黑	曾開一入登曉	呼北	5_44
3732	墨	曾開一入登明	莫北	5_45/5_44
3733	賊	曾開一入登從	昨則	5_45
3734	塞	曾開一入登心	蘇則	5_45
3735	北	曾開一入登幫	博墨	5_45
3736	菔	曾開一入登並	蒲北	5_45
3737	或	曾合一入登匣	胡國	5_45
3738	國	曾合一入登見	古或	5_45
3739	餩	曾開一入登影	愛黑	5_45
3740	劾	曾開一入登匣	胡得	5_45
3741	䘅	曾開一入登泥	奴勒	5_45
3742	裓	曾開一入登見	古得	5_45
3743	墄	曾開一入登清	七則	5_45
3744	覆	曾開一入登滂	匹北	5_45
3745	𢃤	曾合一入登曉	呼或	5_45
3746	緝	深開三入侵清	七入	5_45
3747	十	深開三入侵常	是執	5_45
3748	執	深開三入侵章	之入	5_45
3749	習	深開三入侵邪	似入	5_45
3750	集	深開三入侵從	秦入	5_46/5_45
3751	入	深開三入侵日	人執	5_46
3752	揖	深開三入侵影A	伊入	5_46
3753	溼	深開三入侵書	失入	5_46
3754	㗱	深開三入侵精	子入	5_46
3755	及	深開三入侵羣B	其立	5_46
3756	蟄	深開三入侵澄	直立	5_46
3757	縶	深開三入侵知	陟立	5_46
3758	立	深開三入侵來	力入	5_46
3759	急	深開三入侵見B	居立	5_46
3760	岌	深開三入侵疑B	魚及	5_46
3761	泣	深開三入侵溪B	去急	5_46
3762	𩎕	深開三入侵心	先立	5_46
3763	歰	深開三入侵生	色立	5_46
3764	吸	深開三入侵曉B	許及	5_46
3765	戢	深開三入侵莊	阻立	5_46
3766	邑	深開三入侵影B	於汲	5_46
3767	湁	深開三入侵徹	丑入	5_46
3768	煜	深開三入侵云	爲立	5_46
3769	熠	深開三入侵以	羊入	5_46
3770	孨	深開三入侵孃	尼立	5_46
3771	霵	深開三入侵崇	仕戢	5_47
3772	𩾳	深開三入侵並B	皮及	5_47
3773	鵖	深開三入侵幫B	彼及	5_47
3774	㞚	深開三入侵初	初戢	5_47
3775	卙	深開三入侵昌	昌汁	5_47
3776	合	咸開一入覃匣	侯閤	5_47
3777	閤	咸開一入覃見	古沓	5_47
3778	答	咸開一入覃端	都合	5_47
3779	趿	咸開一入覃心	蘇合	5_47
3780	沓	咸開一入覃定	徒合	5_47
3781	錔	咸開一入覃透	他合	5_47
3782	雜	咸開一入覃從	徂合	5_47
3783	帀	咸開一入覃精	子荅	5_47
3784	拉	咸開一入覃來	盧合	5_47/5_48
3785	納	咸開一入覃泥	奴荅	5_48
3786	溘	咸開一入覃溪	口荅	5_48
3787	姶	咸開一入覃影	烏合	5_48
3788	欱	咸開一入覃曉	呼合	5_48
3789	㬎	咸開一入覃疑	五合	5_48
3790	䟃	咸開一入覃清	七合	5_48
3791	遪	咸開一入覃常	十合	5_48
3792	唈	咸開一入覃影	烏荅	5_48
3793	盍	咸開一入談匣	胡臘	5_48
3794	臘	咸開一入談來	盧盍	5_48
3795	㿴	咸開一入談端	都榼	5_48
3796	榻	咸開一入談透	吐盍	5_48
3797	𣣹	咸開一入談曉	呼盍	5_48
3798	魶	咸開一入談泥	奴盍	5_48
3799	蹋	咸開一入談定	徒盍	5_48
3800	𠎷	咸開一入談心	私盍	5_48
3801	儑	咸開一入談疑	五盍	5_48
3802	䪞	咸開一入談從	才盍	5_48
3803	䫦	咸開一入談見	古盍	5_49/5_48
3804	榼	咸開一入談溪	苦盍	5_49
3805	鰪	咸開一入談影	安盍	5_49
3806	囃	咸開一入談清	倉雜	5_49
3807	砝	咸開一入談見	居盍	5_49
3808	譫	咸開一入談章	章盍	5_49
3809	葉	咸開三入鹽以	與涉	5_49
3810	接	咸開三入鹽精	即葉	5_49
3811	攝	咸開三入鹽書	書涉	5_49
3812	涉	咸開三入鹽常	時攝	5_49
3813	獵	咸開三入鹽來	良涉	5_49
3814	捷	咸開三入鹽從	疾葉	5_49
3815	䐑	咸開三入鹽澄	直葉	5_49
3816	𢽱	咸開三入鹽影B	於輒	5_49
3817	聶	咸開三入鹽孃	尼輒	5_49
3818	謵	咸開三入鹽昌	叱涉	5_49
3819	讘	咸開三入鹽日	而涉	5_50/5_49
3820	讋	咸開三入鹽章	之涉	5_50
3821	妾	咸開三入鹽清	七接	5_50
3822	鍤	咸開三入鹽徹	丑輒	5_50
3823	衱	咸開三入鹽羣B	其輒	5_50
3824	輒	咸開三入鹽知	陟葉	5_50
3825	曄	咸開三入鹽云	筠輒	5_50
3826	𤷾	咸開三入鹽溪A	去涉	5_50
3827	萐	咸開三入鹽生	山輒	5_50
3828	𦀖	咸開三入鹽見B	居輒	5_50
3829	魘	咸開三入鹽影A	於葉	5_50
3830	怗	咸開四入添透	他協	5_50
3831	協	咸開四入添匣	胡頰	5_50
3832	頰	咸開四入添見	古協	5_50
3833	愜	咸開四入添溪	苦協	5_50
3834	牒	咸開四入添定	徒協	5_50/5_51
3835	苶	咸開四入添泥	奴協	5_51
3836	燮	咸開四入添心	蘇協	5_51
3837	㼲	咸開四入添來	盧協	5_51
3838	聑	咸開四入添端	丁愜	5_51
3839	䕹	咸開四入添從	在協	5_51
3840	浹	咸開四入添精	子協	5_51
3841	弽	咸開四入添曉	呼牒	5_51
3842	䢡	咸開四入添心	先頰	5_51
3843	洽	咸開二入咸匣	侯夾	5_51
3844	恰	咸開二入咸溪	苦洽	5_51
3845	𥯦	咸開二入咸崇	士洽	5_51
3846	夾	咸開二入咸見	古洽	5_51
3847	眨	咸開二入咸莊	側洽	5_51
3848	插	咸開二入咸初	楚洽	5_51
3849	㘝	咸開二入咸孃	女洽	5_51
3850	䶎	咸開二入咸曉	呼洽	5_51/5_52
3851	霎	咸開二入咸生	山洽	5_52
3852	劄	咸開二入咸知	竹洽	5_52
3853	𨂁	咸開二入咸影	烏洽	5_52
3854	䀴	咸開二入咸疑	五夾	5_52
3855	𥃐	咸開二入咸徹	丑㘝	5_52
3856	狎	咸開二入銜匣	胡甲	5_52
3857	𠗨	咸開二入銜澄	丈甲	5_52
3858	鴨	咸開二入銜影	烏甲	5_52
3859	甲	咸開二入銜見	古狎	5_52
3860	翣	咸開二入銜生	所甲	5_52
3861	呷	咸開二入銜曉	呼甲	5_52
3862	業	咸開三入嚴疑	魚怯	5_52
3863	脅	咸開三入嚴曉	虚業	5_52
3864	怯	咸開三入嚴溪	去劫	5_52
3865	劫	咸開三入嚴見	居怯	5_52
3866	腌	咸開三入嚴影	於業	5_52/5_53
3867	殜	咸開三入嚴以	余業	5_53
3868	跲	咸開三入嚴羣	巨業	5_53
3869	乏	咸合三入凡並	房法	5_53
3870	法	咸合三入凡幫	方乏	5_53
3871	𥎰	咸合三入凡滂	孚法	5_53
3872	猲	咸合三入凡溪	起法	5_53
3873	䎎	咸合三入凡孃	女法	5_53
3874	𦑣	咸合三入凡徹	丑法	5_53
